order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_amount
OI00000079,O0000030,P0048,1,99.71,5,94.72
OI00000080,O0000030,P0034,2,1291.40,0,2582.80
OI00000081,O0000030,P0032,1,1037.48,0,1037.48
OI00000082,O0000031,P0049,1,231.91,0,231.91
OI00000083,O0000031,P0015,1,427.79,0,427.79
OI00000084,O0000032,P0012,1,148.19,15,125.96
OI00000085,O0000032,P0026,1,366.66,0,366.66
OI00000086,O0000032,P0045,1,1130.26,0,1130.26
OI00000087,O0000033,P0033,1,1167.43,0,1167.43
OI00000088,O0000034,P0007,1,902.47,0,902.47
OI00000089,O0000035,P0014,2,348.45,0,696.90
OI00000090,O0000035,P0034,1,1291.40,0,1291.40
OI00000091,O0000035,P0023,1,1336.83,10,1203.15
OI00000092,O0000036,P0026,1,366.66,10,329.99
OI00000093,O0000036,P0052,2,604.83,0,1209.66
OI00000094,O0000037,P0042,2,785.40,0,1570.80
OI00000095,O0000037,P0053,2,655.90,0,1311.80
OI00000096,O0000037,P0017,1,682.56,5,648.43
OI00000097,O0000038,P0005,1,694.42,0,694.42
OI00000098,O0000038,P0059,1,1368.20,10,1231.38
OI00000099,O0000038,P0036,1,101.46,15,86.24
OI00000100,O0000039,P0025,1,266.10,10,239.49
OI00000101,O0000040,P0049,1,231.91,5,220.31
OI00000102,O0000040,P0011,2,1360.30,10,2448.54
OI00000103,O0000041,P0027,1,488.48,0,488.48
OI00000104,O0000041,P0045,1,1130.26,0,1130.26
OI00000105,O0000041,P0002,1,313.06,10,281.75
OI00000106,O0000041,P0050,1,377.06,0,377.06
OI00000107,O0000042,P0003,1,496.81,0,496.81
OI00000108,O0000042,P0007,1,902.47,10,812.22
OI00000109,O0000042,P0050,1,377.06,0,377.06
OI00000110,O0000043,P0048,2,99.71,10,179.48
OI00000111,O0000043,P0002,1,313.06,0,313.06
OI00000112,O0000044,P0025,1,266.10,10,239.49
OI00000113,O0000044,P0044,1,987.16,0,987.16
OI00000114,O0000044,P0013,1,257.07,15,218.51
OI00000115,O0000044,P0034,1,1291.40,0,1291.40
OI00000116,O0000045,P0025,1,266.10,0,266.10
OI00000117,O0000046,P0008,1,1054.76,0,1054.76
OI00000118,O0000047,P0031,1,874.24,0,874.24
OI00000119,O0000047,P0025,1,266.10,5,252.80
OI00000120,O0000047,P0032,1,1037.48,0,1037.48
OI00000121,O0000047,P0004,2,606.51,0,1213.02
OI00000122,O0000048,P0040,2,595.34,0,1190.68
OI00000123,O0000048,P0005,2,694.42,0,1388.84
OI00000124,O0000048,P0044,1,987.16,10,888.44
OI00000125,O0000048,P0033,3,1167.43,0,3502.29
OI00000126,O0000049,P0019,1,893.32,5,848.65
OI00000127,O0000049,P0001,1,236.92,0,236.92
OI00000128,O0000050,P0021,1,1159.91,0,1159.91
OI00000129,O0000050,P0003,1,496.81,0,496.81
OI00000130,O0000051,P0042,1,785.40,0,785.40
OI00000131,O0000051,P0049,1,231.91,0,231.91
OI00000132,O0000051,P0011,2,1360.30,10,2448.54
OI00000133,O0000052,P0055,1,931.83,0,931.83
OI00000134,O0000053,P0001,1,236.92,10,213.23
OI00000135,O0000053,P0027,1,488.48,15,415.21
OI00000136,O0000054,P0017,1,682.56,0,682.56
OI00000137,O0000054,P0052,1,604.83,15,514.11
OI00000138,O0000055,P0057,1,1179.24,10,1061.32
OI00000139,O0000055,P0035,1,1339.16,10,1205.24
OI00000140,O0000056,P0007,1,902.47,0,902.47
OI00000141,O0000056,P0028,1,598.14,15,508.42
OI00000142,O0000056,P0057,1,1179.24,0,1179.24
OI00000143,O0000057,P0045,1,1130.26,0,1130.26
OI00000144,O0000057,P0032,1,1037.48,0,1037.48
OI00000145,O0000058,P0060,1,102.61,10,92.35
OI00000146,O0000059,P0025,2,266.10,15,452.37
OI00000147,O0000059,P0042,1,785.40,15,667.59
OI00000148,O0000059,P0041,1,672.66,0,672.66
OI00000149,O0000059,P0009,1,1133.54,0,1133.54
OI00000150,O0000060,P0020,1,1044.61,0,1044.61
OI00000151,O0000061,P0029,1,703.99,0,703.99
OI00000152,O0000061,P0039,1,474.61,0,474.61
OI00000153,O0000061,P0040,3,595.34,0,1786.02
OI00000154,O0000062,P0040,1,595.34,5,565.57
OI00000155,O0000063,P0054,3,769.72,10,2078.24
OI00000156,O0000063,P0040,1,595.34,0,595.34
OI00000157,O0000064,P0038,1,362.52,0,362.52
OI00000158,O0000064,P0021,2,1159.91,0,2319.82
OI00000159,O0000064,P0032,1,1037.48,15,881.86
OI00000160,O0000065,P0024,2,133.54,5,253.73
OI00000161,O0000066,P0047,2,1350.45,0,2700.90
OI00000162,O0000066,P0039,1,474.61,0,474.61
OI00000163,O0000067,P0046,1,1240.65,5,1178.62
OI00000164,O0000067,P0024,1,133.54,5,126.86
OI00000165,O0000067,P0047,1,1350.45,15,1147.88
OI00000166,O0000067,P0003,1,496.81,5,471.97
OI00000167,O0000068,P0022,1,1282.59,0,1282.59
OI00000168,O0000068,P0010,1,1286.45,0,1286.45
OI00000169,O0000069,P0013,1,257.07,5,244.22
OI00000170,O0000070,P0013,1,257.07,0,257.07
OI00000171,O0000070,P0052,1,604.83,0,604.83
OI00000172,O0000070,P0005,1,694.42,15,590.26
OI00000173,O0000070,P0006,1,762.29,10,686.06
OI00000174,O0000071,P0058,1,1293.33,0,1293.33
OI00000175,O0000072,P0016,1,579.49,15,492.57
OI00000176,O0000072,P0025,1,266.10,10,239.49
OI00000177,O0000072,P0010,1,1286.45,15,1093.48
OI00000178,O0000072,P0002,1,313.06,0,313.06
OI00000179,O0000073,P0038,1,362.52,0,362.52
OI00000180,O0000073,P0044,1,987.16,10,888.44
OI00000181,O0000073,P0011,2,1360.30,10,2448.54
OI00000182,O0000074,P0043,1,928.06,0,928.06
OI00000183,O0000075,P0057,2,1179.24,0,2358.48
OI00000184,O0000075,P0009,1,1133.54,15,963.51
OI00000185,O0000075,P0060,1,102.61,0,102.61
OI00000186,O0000076,P0009,1,1133.54,0,1133.54
OI00000187,O0000077,P0024,3,133.54,5,380.59
OI00000188,O0000077,P0030,2,794.06,0,1588.12
OI00000189,O0000078,P0039,1,474.61,0,474.61
OI00000190,O0000078,P0004,1,606.51,0,606.51
OI00000191,O0000079,P0007,1,902.47,10,812.22
OI00000192,O0000079,P0019,1,893.32,0,893.32
OI00000193,O0000080,P0055,2,931.83,10,1677.29
OI00000194,O0000080,P0048,1,99.71,0,99.71
OI00000195,O0000080,P0008,1,1054.76,5,1002.02
OI00000196,O0000081,P0044,1,987.16,0,987.16
OI00000197,O0000081,P0043,1,928.06,10,835.25
OI00000198,O0000081,P0009,1,1133.54,0,1133.54
OI00000199,O0000082,P0025,1,266.10,0,266.10
OI00000200,O0000083,P0058,2,1293.33,0,2586.66
OI00000201,O0000083,P0034,1,1291.40,5,1226.83
OI00000202,O0000083,P0033,2,1167.43,5,2218.12
OI00000203,O0000084,P0034,1,1291.40,10,1162.26
OI00000204,O0000084,P0027,2,488.48,10,879.26
OI00000205,O0000085,P0017,1,682.56,0,682.56
OI00000206,O0000086,P0049,1,231.91,0,231.91
OI00000207,O0000086,P0051,2,451.37,15,767.33
OI00000208,O0000086,P0031,2,874.24,0,1748.48
OI00000209,O0000086,P0026,2,366.66,10,659.99
OI00000210,O0000087,P0056,1,1060.69,0,1060.69
OI00000211,O0000087,P0009,1,1133.54,10,1020.19
OI00000212,O0000087,P0043,1,928.06,15,788.85
OI00000213,O0000087,P0022,1,1282.59,10,1154.33
OI00000214,O0000088,P0011,1,1360.30,15,1156.25
OI00000215,O0000088,P0023,1,1336.83,0,1336.83
OI00000216,O0000088,P0002,2,313.06,0,626.12
OI00000217,O0000088,P0020,2,1044.61,0,2089.22
OI00000218,O0000089,P0026,1,366.66,15,311.66
OI00000219,O0000089,P0011,2,1360.30,0,2720.60
OI00000220,O0000090,P0032,3,1037.48,15,2645.57
OI00000221,O0000091,P0047,1,1350.45,15,1147.88
OI00000222,O0000092,P0022,1,1282.59,0,1282.59
OI00000223,O0000092,P0005,1,694.42,5,659.70
OI00000224,O0000092,P0011,1,1360.30,5,1292.28
OI00000225,O0000093,P0041,1,672.66,15,571.76
OI00000226,O0000093,P0019,1,893.32,0,893.32
OI00000227,O0000094,P0058,1,1293.33,0,1293.33
OI00000228,O0000095,P0030,2,794.06,10,1429.31
OI00000229,O0000095,P0026,1,366.66,10,329.99
OI00000230,O0000096,P0033,1,1167.43,10,1050.69
OI00000231,O0000096,P0035,2,1339.16,10,2410.49
OI00000232,O0000096,P0054,1,769.72,10,692.75
OI00000233,O0000096,P0049,1,231.91,5,220.31
OI00000234,O0000097,P0030,1,794.06,0,794.06
OI00000235,O0000097,P0009,1,1133.54,10,1020.19
OI00000236,O0000097,P0006,1,762.29,0,762.29
OI00000237,O0000097,P0048,1,99.71,5,94.72
OI00000238,O0000098,P0014,2,348.45,5,662.05
OI00000239,O0000098,P0031,1,874.24,0,874.24
OI00000240,O0000098,P0050,2,377.06,0,754.12
OI00000241,O0000099,P0039,1,474.61,0,474.61
OI00000242,O0000099,P0048,1,99.71,0,99.71
OI00000243,O0000099,P0006,2,762.29,15,1295.89
OI00000244,O0000099,P0049,1,231.91,5,220.31
OI00000245,O0000100,P0037,1,265.67,0,265.67
OI00000246,O0000100,P0041,1,672.66,0,672.66
OI00000247,O0000100,P0033,1,1167.43,10,1050.69
OI00000248,O0000100,P0048,2,99.71,0,199.42
OI00000249,O0000101,P0032,1,1037.48,10,933.73
OI00000250,O0000101,P0058,2,1293.33,10,2327.99
OI00000251,O0000102,P0004,1,606.51,0,606.51
OI00000252,O0000102,P0043,2,928.06,10,1670.51
OI00000253,O0000102,P0028,1,598.14,0,598.14
OI00000254,O0000103,P0019,1,893.32,15,759.32
OI00000255,O0000104,P0017,1,682.56,15,580.18
OI00000256,O0000104,P0043,1,928.06,0,928.06
OI00000257,O0000105,P0008,1,1054.76,0,1054.76
OI00000258,O0000105,P0003,1,496.81,0,496.81
OI00000259,O0000105,P0018,1,839.52,15,713.59
OI00000260,O0000106,P0041,1,672.66,0,672.66
OI00000261,O0000107,P0021,1,1159.91,15,985.92
OI00000262,O0000108,P0007,1,902.47,0,902.47
OI00000263,O0000108,P0005,1,694.42,15,590.26
OI00000264,O0000109,P0046,1,1240.65,5,1178.62
OI00000265,O0000110,P0038,1,362.52,10,326.27
OI00000266,O0000111,P0007,2,902.47,0,1804.94
OI00000267,O0000111,P0054,1,769.72,0,769.72
OI00000268,O0000111,P0009,1,1133.54,10,1020.19
OI00000269,O0000111,P0056,1,1060.69,5,1007.66
OI00000270,O0000112,P0046,2,1240.65,5,2357.24
OI00000271,O0000113,P0014,1,348.45,0,348.45
OI00000272,O0000113,P0044,2,987.16,0,1974.32
OI00000273,O0000114,P0018,1,839.52,10,755.57
OI00000274,O0000115,P0040,1,595.34,0,595.34
OI00000275,O0000116,P0007,2,902.47,0,1804.94
OI00000276,O0000117,P0022,1,1282.59,15,1090.20
OI00000277,O0000117,P0004,1,606.51,5,576.18
OI00000278,O0000118,P0043,2,928.06,5,1763.31
OI00000279,O0000118,P0013,1,257.07,10,231.36
OI00000280,O0000118,P0022,1,1282.59,5,1218.46
OI00000281,O0000118,P0020,2,1044.61,0,2089.22
OI00000282,O0000119,P0059,1,1368.20,0,1368.20
OI00000283,O0000119,P0038,1,362.52,10,326.27
OI00000284,O0000119,P0013,2,257.07,0,514.14
OI00000285,O0000119,P0035,1,1339.16,5,1272.20
OI00000286,O0000120,P0005,1,694.42,10,624.98
OI00000287,O0000120,P0034,1,1291.40,0,1291.40
OI00000288,O0000121,P0032,1,1037.48,5,985.61
OI00000289,O0000122,P0034,1,1291.40,0,1291.40
OI00000290,O0000123,P0016,1,579.49,15,492.57
OI00000291,O0000124,P0059,1,1368.20,10,1231.38
OI00000292,O0000124,P0021,1,1159.91,10,1043.92
OI00000293,O0000124,P0050,1,377.06,0,377.06
OI00000294,O0000125,P0056,2,1060.69,5,2015.31
OI00000295,O0000125,P0051,1,451.37,0,451.37
OI00000296,O0000125,P0004,2,606.51,0,1213.02
OI00000297,O0000126,P0014,1,348.45,15,296.18
OI00000298,O0000126,P0040,1,595.34,0,595.34
OI00000299,O0000126,P0011,1,1360.30,0,1360.30
OI00000300,O0000127,P0024,1,133.54,10,120.19
OI00000301,O0000128,P0035,1,1339.16,0,1339.16
OI00000302,O0000128,P0006,2,762.29,0,1524.58
OI00000303,O0000128,P0016,2,579.49,0,1158.98
OI00000304,O0000128,P0055,1,931.83,0,931.83
OI00000305,O0000129,P0023,3,1336.83,0,4010.49
OI00000306,O0000129,P0037,1,265.67,5,252.39
OI00000307,O0000129,P0006,2,762.29,0,1524.58
OI00000308,O0000130,P0035,1,1339.16,10,1205.24
OI00000309,O0000130,P0004,1,606.51,0,606.51
OI00000310,O0000130,P0014,1,348.45,0,348.45
OI00000311,O0000130,P0047,1,1350.45,0,1350.45
OI00000312,O0000131,P0015,1,427.79,0,427.79
OI00000313,O0000131,P0056,1,1060.69,10,954.62
OI00000314,O0000131,P0013,2,257.07,0,514.14
OI00000315,O0000131,P0002,1,313.06,0,313.06
OI00000316,O0000132,P0048,3,99.71,0,299.13
OI00000317,O0000132,P0036,1,101.46,15,86.24
OI00000318,O0000132,P0011,1,1360.30,15,1156.25
OI00000319,O0000133,P0059,1,1368.20,5,1299.79
OI00000320,O0000133,P0032,1,1037.48,5,985.61
OI00000321,O0000134,P0042,1,785.40,15,667.59
OI00000322,O0000134,P0050,1,377.06,10,339.35
OI00000323,O0000134,P0056,3,1060.69,5,3022.97
OI00000324,O0000135,P0046,1,1240.65,10,1116.59
OI00000325,O0000135,P0002,1,313.06,10,281.75
OI00000326,O0000136,P0049,1,231.91,10,208.72
OI00000327,O0000137,P0022,1,1282.59,0,1282.59
OI00000328,O0000137,P0014,1,348.45,15,296.18
OI00000329,O0000138,P0010,1,1286.45,0,1286.45
OI00000330,O0000139,P0030,1,794.06,15,674.95
OI00000331,O0000140,P0025,2,266.10,5,505.59
OI00000332,O0000140,P0044,1,987.16,0,987.16
OI00000333,O0000141,P0052,2,604.83,0,1209.66
OI00000334,O0000141,P0028,1,598.14,15,508.42
OI00000335,O0000141,P0056,1,1060.69,15,901.59
OI00000336,O0000141,P0006,1,762.29,5,724.18
OI00000337,O0000142,P0011,1,1360.30,0,1360.30
OI00000338,O0000142,P0043,2,928.06,0,1856.12
OI00000339,O0000142,P0004,1,606.51,0,606.51
OI00000340,O0000142,P0055,1,931.83,0,931.83
OI00000341,O0000143,P0014,1,348.45,0,348.45
OI00000342,O0000143,P0051,1,451.37,15,383.66
OI00000343,O0000143,P0019,1,893.32,10,803.99
OI00000344,O0000144,P0049,1,231.91,5,220.31
OI00000345,O0000144,P0006,1,762.29,0,762.29
OI00000346,O0000144,P0056,1,1060.69,5,1007.66
OI00000347,O0000144,P0057,1,1179.24,10,1061.32
OI00000348,O0000145,P0050,1,377.06,0,377.06
OI00000349,O0000146,P0048,1,99.71,15,84.75
OI00000350,O0000146,P0025,1,266.10,0,266.10
OI00000351,O0000147,P0034,1,1291.40,10,1162.26
OI00000352,O0000148,P0003,1,496.81,5,471.97
OI00000353,O0000148,P0042,1,785.40,10,706.86
OI00000354,O0000148,P0043,1,928.06,10,835.25
OI00000355,O0000148,P0021,1,1159.91,0,1159.91
OI00000356,O0000149,P0025,1,266.10,15,226.19
OI00000357,O0000150,P0030,1,794.06,0,794.06
OI00000358,O0000151,P0057,1,1179.24,0,1179.24
OI00000359,O0000151,P0052,2,604.83,0,1209.66
OI00000360,O0000152,P0046,2,1240.65,10,2233.17
OI00000361,O0000152,P0035,3,1339.16,15,3414.86
OI00000362,O0000152,P0027,1,488.48,0,488.48
OI00000363,O0000152,P0049,2,231.91,10,417.44
OI00000364,O0000153,P0028,1,598.14,10,538.33
OI00000365,O0000153,P0004,1,606.51,0,606.51
OI00000366,O0000153,P0001,1,236.92,5,225.07
OI00000367,O0000153,P0048,1,99.71,0,99.71
OI00000368,O0000154,P0023,3,1336.83,15,3408.92
OI00000369,O0000154,P0042,1,785.40,0,785.40
OI00000370,O0000154,P0009,1,1133.54,10,1020.19
OI00000371,O0000154,P0012,2,148.19,15,251.92
OI00000372,O0000155,P0059,1,1368.20,5,1299.79
OI00000373,O0000155,P0004,1,606.51,5,576.18
OI00000374,O0000155,P0024,3,133.54,10,360.56
OI00000375,O0000155,P0053,1,655.90,0,655.90
OI00000376,O0000156,P0032,1,1037.48,0,1037.48
OI00000377,O0000156,P0041,1,672.66,0,672.66
OI00000378,O0000157,P0028,1,598.14,5,568.23
OI00000379,O0000158,P0042,1,785.40,5,746.13
OI00000380,O0000158,P0038,1,362.52,15,308.14
OI00000381,O0000158,P0022,1,1282.59,15,1090.20
OI00000382,O0000158,P0039,1,474.61,15,403.42
OI00000383,O0000159,P0013,1,257.07,15,218.51
OI00000384,O0000159,P0036,1,101.46,0,101.46
OI00000385,O0000159,P0020,1,1044.61,5,992.38
OI00000386,O0000159,P0049,1,231.91,10,208.72
OI00000387,O0000160,P0002,1,313.06,0,313.06
OI00000388,O0000160,P0004,1,606.51,10,545.86
OI00000389,O0000160,P0030,1,794.06,0,794.06
OI00000390,O0000160,P0022,1,1282.59,10,1154.33
OI00000391,O0000161,P0017,1,682.56,0,682.56
OI00000392,O0000161,P0047,1,1350.45,0,1350.45
OI00000393,O0000161,P0022,1,1282.59,5,1218.46
OI00000394,O0000161,P0012,1,148.19,0,148.19
OI00000395,O0000162,P0026,2,366.66,0,733.32
OI00000396,O0000162,P0010,1,1286.45,15,1093.48
OI00000397,O0000162,P0045,1,1130.26,0,1130.26
OI00000398,O0000162,P0009,1,1133.54,15,963.51
OI00000399,O0000163,P0017,1,682.56,0,682.56
OI00000400,O0000163,P0031,1,874.24,0,874.24
OI00000401,O0000163,P0027,1,488.48,0,488.48
OI00000402,O0000164,P0003,1,496.81,10,447.13
OI00000403,O0000164,P0006,2,762.29,0,1524.58
OI00000404,O0000164,P0051,2,451.37,0,902.74
OI00000405,O0000164,P0024,1,133.54,0,133.54
OI00000406,O0000165,P0025,1,266.10,0,266.10
OI00000407,O0000165,P0052,1,604.83,5,574.59
OI00000408,O0000165,P0022,1,1282.59,5,1218.46
OI00000409,O0000166,P0037,1,265.67,10,239.10
OI00000410,O0000166,P0038,1,362.52,0,362.52
OI00000411,O0000166,P0042,1,785.40,0,785.40
OI00000412,O0000167,P0055,1,931.83,0,931.83
OI00000413,O0000167,P0057,2,1179.24,5,2240.56
OI00000414,O0000167,P0045,2,1130.26,0,2260.52
OI00000415,O0000168,P0036,2,101.46,15,172.48
OI00000416,O0000168,P0017,2,682.56,15,1160.35
OI00000417,O0000168,P0059,1,1368.20,0,1368.20
OI00000418,O0000169,P0009,1,1133.54,0,1133.54
OI00000419,O0000170,P0042,3,785.40,0,2356.20
OI00000420,O0000170,P0057,1,1179.24,10,1061.32
OI00000421,O0000170,P0012,1,148.19,0,148.19
OI00000422,O0000171,P0045,1,1130.26,0,1130.26
OI00000423,O0000171,P0007,2,902.47,10,1624.45
OI00000424,O0000172,P0041,1,672.66,15,571.76
OI00000425,O0000173,P0020,1,1044.61,0,1044.61
OI00000426,O0000173,P0040,1,595.34,0,595.34
OI00000427,O0000173,P0001,1,236.92,0,236.92
OI00000428,O0000174,P0038,1,362.52,0,362.52
OI00000429,O0000174,P0055,1,931.83,10,838.65
OI00000430,O0000174,P0025,1,266.10,10,239.49
OI00000431,O0000174,P0006,1,762.29,0,762.29
OI00000432,O0000175,P0039,1,474.61,5,450.88
OI00000433,O0000175,P0023,1,1336.83,15,1136.31
OI00000434,O0000176,P0008,1,1054.76,5,1002.02
OI00000435,O0000176,P0045,1,1130.26,5,1073.75
OI00000436,O0000176,P0029,1,703.99,5,668.79
OI00000437,O0000176,P0001,1,236.92,0,236.92
OI00000438,O0000177,P0059,2,1368.20,0,2736.40
OI00000439,O0000177,P0027,1,488.48,15,415.21
OI00000440,O0000177,P0024,1,133.54,10,120.19
OI00000441,O0000177,P0037,1,265.67,0,265.67
OI00000442,O0000178,P0046,1,1240.65,10,1116.59
OI00000443,O0000179,P0028,1,598.14,15,508.42
OI00000444,O0000179,P0034,1,1291.40,0,1291.40
OI00000445,O0000180,P0056,1,1060.69,0,1060.69
OI00000446,O0000180,P0007,1,902.47,10,812.22
OI00000447,O0000180,P0060,1,102.61,5,97.48
OI00000448,O0000180,P0016,1,579.49,0,579.49
OI00000449,O0000181,P0050,1,377.06,0,377.06
OI00000450,O0000181,P0023,1,1336.83,0,1336.83
OI00000451,O0000181,P0014,1,348.45,0,348.45
OI00000452,O0000182,P0002,1,313.06,10,281.75
OI00000453,O0000182,P0044,1,987.16,0,987.16
OI00000454,O0000182,P0039,1,474.61,0,474.61
OI00000455,O0000182,P0046,1,1240.65,0,1240.65
OI00000456,O0000183,P0027,1,488.48,0,488.48
OI00000457,O0000183,P0045,1,1130.26,0,1130.26
OI00000458,O0000184,P0034,1,1291.40,0,1291.40
OI00000459,O0000184,P0005,1,694.42,15,590.26
OI00000460,O0000184,P0042,3,785.40,0,2356.20
OI00000461,O0000184,P0033,1,1167.43,0,1167.43
OI00000462,O0000185,P0040,1,595.34,0,595.34
OI00000463,O0000185,P0020,1,1044.61,0,1044.61
OI00000464,O0000185,P0027,1,488.48,0,488.48
OI00000465,O0000185,P0055,1,931.83,0,931.83
OI00000466,O0000186,P0014,1,348.45,0,348.45
OI00000467,O0000186,P0015,1,427.79,15,363.62
OI00000468,O0000186,P0050,1,377.06,0,377.06
OI00000469,O0000187,P0036,1,101.46,0,101.46
OI00000470,O0000187,P0015,2,427.79,5,812.80
OI00000471,O0000187,P0052,1,604.83,5,574.59
OI00000472,O0000187,P0018,1,839.52,5,797.54
OI00000473,O0000188,P0006,1,762.29,10,686.06
OI00000474,O0000188,P0009,1,1133.54,0,1133.54
OI00000475,O0000189,P0044,1,987.16,0,987.16
OI00000476,O0000189,P0047,3,1350.45,0,4051.35
OI00000477,O0000189,P0034,1,1291.40,10,1162.26
OI00000478,O0000189,P0020,2,1044.61,0,2089.22
OI00000479,O0000190,P0049,1,231.91,5,220.31
OI00000480,O0000190,P0011,1,1360.30,0,1360.30
OI00000481,O0000191,P0044,2,987.16,5,1875.60
OI00000482,O0000192,P0044,2,987.16,5,1875.60
OI00000483,O0000192,P0056,3,1060.69,15,2704.76
OI00000484,O0000192,P0012,1,148.19,15,125.96
OI00000485,O0000192,P0025,1,266.10,10,239.49
OI00000486,O0000193,P0058,1,1293.33,0,1293.33
OI00000487,O0000193,P0021,1,1159.91,0,1159.91
OI00000488,O0000193,P0045,1,1130.26,5,1073.75
OI00000489,O0000194,P0033,1,1167.43,15,992.32
OI00000490,O0000195,P0009,1,1133.54,15,963.51
OI00000491,O0000195,P0003,1,496.81,0,496.81
OI00000492,O0000196,P0047,1,1350.45,0,1350.45
OI00000493,O0000197,P0026,1,366.66,0,366.66
OI00000494,O0000197,P0060,2,102.61,15,174.44
OI00000495,O0000197,P0037,2,265.67,0,531.34
OI00000496,O0000197,P0047,1,1350.45,0,1350.45
OI00000497,O0000198,P0049,1,231.91,10,208.72
OI00000498,O0000198,P0005,2,694.42,10,1249.96
OI00000499,O0000199,P0002,2,313.06,5,594.81
OI00000500,O0000199,P0026,1,366.66,0,366.66
OI00000501,O0000200,P0058,1,1293.33,10,1164.00
OI00000502,O0000200,P0011,1,1360.30,10,1224.27
