refund_id,order_id,requested_ts,completed_ts,reason,status,amount
R000039,O0000461,2025-12-10T06:21:00,2025-12-11T22:21:00,误购,approved,934.82
R000040,O0000464,2026-06-26T05:37:00,2026-06-26T12:37:00,兼容性问题,rejected,1084.17
R000041,O0000475,2025-12-23T00:59:00,2025-12-26T23:59:00,质量问题,approved,4792.68
R000042,O0000485,2026-07-14T05:13:00,2026-07-17T12:13:00,兼容性问题,approved,1146.86
R000043,O0000487,2026-01-25T02:03:00,2026-01-25T04:03:00,误购,approved,710.09
R000044,O0000517,2026-05-21T05:17:00,2026-05-24T08:17:00,与描述不符,rejected,1732.32
R000045,O0000528,2025-08-24T12:04:00,2025-08-24T21:04:00,误购,approved,541.68
R000046,O0000534,2026-05-04T09:16:00,2026-05-07T18:16:00,误购,rejected,243.29
R000047,O0000544,2026-07-07T21:10:00,,质量问题,pending,472.69
R000048,O0000548,2026-06-15T12:31:00,2026-06-19T07:31:00,质量问题,approved,393.32
R000049,O0000552,2026-04-03T06:20:00,2026-04-04T07:20:00,与描述不符,approved,601.62
R000050,O0000560,2026-08-04T21:41:00,2026-08-06T21:41:00,物流破损,approved,774.65
R000051,O0000583,2026-06-11T13:14:00,2026-06-12T02:14:00,兼容性问题,rejected,1885.17
R000052,O0000585,2025-11-11T07:48:00,2025-11-11T20:48:00,兼容性问题,rejected,1885.23
R000053,O0000589,2025-10-22T16:21:00,2025-10-25T00:21:00,误购,approved,75.90
R000054,O0000592,2026-05-08T00:13:00,2026-05-10T12:13:00,误购,rejected,1062.67
R000055,O0000626,2026-03-16T11:24:00,,与描述不符,pending,1594.06
R000056,O0000631,2026-05-11T13:18:00,2026-05-15T08:18:00,物流破损,rejected,728.18
R000057,O0000680,2026-04-13T10:22:00,2026-04-14T12:22:00,误购,approved,1063.83
R000058,O0000686,2026-05-19T17:09:00,2026-05-20T01:09:00,质量问题,approved,881.46
R000059,O0000687,2026-03-06T05:37:00,2026-03-09T14:37:00,兼容性问题,approved,1901.69
R000060,O0000692,2026-04-02T19:20:00,2026-04-05T01:20:00,误购,rejected,1153.69
R000061,O0000694,2025-12-24T23:22:00,2025-12-28T15:22:00,兼容性问题,approved,776.56
R000062,O0000704,2025-10-18T23:34:00,2025-10-21T05:34:00,兼容性问题,approved,1344.70
R000063,O0000707,2025-08-12T11:06:00,2025-08-13T13:06:00,误购,rejected,3046.64
R000064,O0000713,2025-11-26T00:12:00,2025-11-28T02:12:00,误购,approved,2110.84
R000065,O0000714,2026-07-27T01:20:00,2026-07-27T09:20:00,与描述不符,approved,308.95
R000066,O0000745,2026-05-12T17:00:00,2026-05-14T10:00:00,物流破损,rejected,1077.90
R000067,O0000751,2025-09-03T06:24:00,2025-09-03T08:24:00,质量问题,approved,3852.23
R000068,O0000752,2025-08-25T02:54:00,2025-08-27T18:54:00,兼容性问题,approved,1843.90
R000069,O0000755,2026-07-02T02:55:00,2026-07-04T05:55:00,与描述不符,approved,1157.01
R000070,O0000770,2025-12-05T14:32:00,,物流破损,pending,127.42
R000071,O0000781,2026-01-11T14:17:00,2026-01-14T10:17:00,质量问题,approved,1828.99
R000072,O0000785,2026-06-18T12:33:00,2026-06-19T08:33:00,质量问题,approved,1679.81
R000073,O0000791,2026-07-21T17:12:00,2026-07-25T12:12:00,与描述不符,approved,4099.99
R000074,O0000795,2026-04-28T08:29:00,2026-05-02T05:29:00,质量问题,approved,1946.31
R000075,O0000798,2026-04-16T01:00:00,2026-04-19T11:00:00,兼容性问题,approved,313.47
R000076,O0000800,2026-07-27T23:39:00,2026-07-29T08:39:00,与描述不符,approved,3052.24
R000077,O0000808,2025-08-30T13:53:00,2025-08-31T11:53:00,与描述不符,approved,3739.96
R000078,O0000811,2025-12-08T19:35:00,2025-12-11T16:35:00,物流破损,approved,1341.54
R000079,O0000817,2026-02-17T05:42:00,2026-02-19T16:42:00,与描述不符,approved,4194.48
R000080,O0000821,2026-04-16T06:42:00,,质量问题,pending,676.91
R000081,O0000835,2025-10-04T15:51:00,2025-10-06T18:51:00,误购,approved,5807.62
R000082,O0000853,2026-04-15T03:05:00,2026-04-17T19:05:00,质量问题,approved,386.16
R000083,O0000855,2025-08-15T21:30:00,2025-08-19T09:30:00,兼容性问题,approved,232.62
R000084,O0000857,2025-09-18T21:58:00,2025-09-20T02:58:00,兼容性问题,approved,1561.34
R000085,O0000869,2026-08-06T12:32:00,2026-08-08T09:32:00,与描述不符,approved,793.42
R000086,O0000874,2025-08-14T19:12:00,2025-08-17T17:12:00,兼容性问题,approved,660.09
R000087,O0000891,2026-07-10T14:57:00,2026-07-12T06:57:00,兼容性问题,approved,778.07
R000088,O0000892,2026-08-14T21:30:00,2026-08-15T13:30:00,与描述不符,approved,2105.06
R000089,O0000895,2025-11-09T03:29:00,2025-11-11T17:29:00,物流破损,approved,1451.23
R000090,O0000901,2026-06-29T03:21:00,2026-07-01T20:21:00,误购,approved,1757.71
R000091,O0000919,2025-11-10T17:04:00,2025-11-13T04:04:00,与描述不符,approved,483.46
R000092,O0000927,2025-12-04T12:14:00,2025-12-04T18:14:00,质量问题,approved,1102.02
R000093,O0000940,2025-09-10T04:48:00,2025-09-13T21:48:00,质量问题,approved,1246.72
R000094,O0000945,2026-07-15T00:45:00,2026-07-17T15:45:00,与描述不符,approved,1203.95
R000095,O0000949,2026-06-17T14:42:00,2026-06-18T04:42:00,与描述不符,approved,597.08
R000096,O0000962,2025-09-20T23:24:00,2025-09-23T15:24:00,与描述不符,approved,1323.97
R000097,O0001000,2026-07-03T15:52:00,2026-07-06T21:52:00,误购,approved,443.01
R000098,O0001009,2026-03-29T05:41:00,2026-03-30T10:41:00,误购,approved,861.59
R000099,O0001016,2025-09-30T17:32:00,2025-10-03T15:32:00,误购,approved,3390.01
R000100,O0001030,2026-07-16T05:41:00,2026-07-17T16:41:00,兼容性问题,rejected,1450.58
R000101,O0001031,2026-06-30T15:27:00,2026-07-01T05:27:00,质量问题,rejected,3349.41
R000102,O0001044,2026-05-31T15:41:00,2026-06-02T16:41:00,质量问题,approved,820.64
R000103,O0001053,2025-09-08T14:24:00,2025-09-11T23:24:00,与描述不符,approved,931.75
R000104,O0001055,2026-06-17T01:03:00,2026-06-20T16:03:00,质量问题,approved,83.51
R000105,O0001066,2025-09-23T03:25:00,2025-09-26T13:25:00,质量问题,approved,831.98
R000106,O0001067,2026-04-30T14:12:00,2026-05-02T06:12:00,误购,approved,1053.07
R000107,O0001073,2026-06-18T22:15:00,,兼容性问题,pending,152.29
R000108,O0001091,2026-06-05T07:05:00,2026-06-06T19:05:00,物流破损,approved,97.11
R000109,O0001103,2026-08-06T19:18:00,2026-08-09T17:18:00,物流破损,approved,782.49
R000110,O0001106,2026-02-20T23:14:00,2026-02-23T20:14:00,误购,rejected,283.19
R000111,O0001107,2026-02-17T00:10:00,2026-02-18T02:10:00,误购,approved,791.47
R000112,O0001111,2025-11-21T02:04:00,2025-11-22T00:04:00,误购,approved,1738.88
R000113,O0001129,2025-08-27T14:28:00,2025-08-29T17:28:00,与描述不符,approved,1317.50
R000114,O0001135,2026-03-30T15:43:00,2026-04-03T09:43:00,误购,approved,2480.02
R000115,O0001142,2025-08-17T02:37:00,2025-08-17T08:37:00,质量问题,approved,1773.38
R000116,O0001150,2026-02-09T11:31:00,2026-02-10T03:31:00,兼容性问题,approved,843.55
R000117,O0001160,2025-11-30T16:22:00,2025-12-03T08:22:00,兼容性问题,approved,960.50
R000118,O0001206,2026-07-30T21:29:00,2026-08-02T06:29:00,与描述不符,approved,5269.43
R000119,O0001207,2026-07-03T10:42:00,2026-07-06T07:42:00,误购,approved,820.56
R000120,O0001209,2025-08-27T06:42:00,2025-08-30T18:42:00,物流破损,approved,1770.26
R000121,O0001215,2025-09-23T15:44:00,2025-09-27T09:44:00,误购,approved,1100.58
R000122,O0001224,2026-01-25T15:31:00,2026-01-28T08:31:00,误购,rejected,370.97
R000123,O0001225,2025-08-28T22:04:00,2025-08-29T06:04:00,误购,approved,3494.17
R000124,O0001226,2025-09-14T07:45:00,2025-09-15T09:45:00,兼容性问题,approved,797.84
R000125,O0001227,2026-05-11T02:54:00,2026-05-12T03:54:00,物流破损,approved,1259.64
R000126,O0001241,2026-05-17T19:23:00,2026-05-19T00:23:00,质量问题,approved,2297.48
R000127,O0001244,2025-12-13T10:50:00,2025-12-15T06:50:00,质量问题,approved,92.65
R000128,O0001247,2026-01-06T20:22:00,2026-01-10T15:22:00,物流破损,approved,2918.11
R000129,O0001267,2025-12-15T20:14:00,2025-12-16T03:14:00,与描述不符,rejected,636.74
R000130,O0001281,2026-06-17T21:05:00,2026-06-20T18:05:00,兼容性问题,rejected,524.90
R000131,O0001285,2025-08-17T08:27:00,2025-08-21T00:27:00,兼容性问题,approved,2501.81
R000132,O0001287,2026-07-19T18:53:00,,兼容性问题,pending,872.80
R000133,O0001301,2025-09-29T14:36:00,2025-09-30T05:36:00,兼容性问题,approved,966.49
R000134,O0001302,2025-10-07T06:54:00,2025-10-08T14:54:00,兼容性问题,approved,2493.30
R000135,O0001309,2026-03-08T15:11:00,2026-03-09T12:11:00,质量问题,approved,221.84
R000136,O0001312,2026-07-01T22:04:00,2026-07-04T05:04:00,与描述不符,approved,348.63
R000137,O0001313,2026-03-19T07:47:00,2026-03-20T01:47:00,误购,approved,5184.05
R000138,O0001347,2026-05-01T19:46:00,2026-05-04T00:46:00,质量问题,approved,1795.69
R000139,O0001355,2025-09-07T19:04:00,2025-09-08T23:04:00,质量问题,approved,1995.55
R000140,O0001361,2025-09-06T16:59:00,2025-09-10T10:59:00,质量问题,approved,1072.20
R000141,O0001368,2026-01-17T12:20:00,2026-01-20T22:20:00,误购,approved,1962.81
R000142,O0001374,2025-12-19T12:27:00,,物流破损,pending,2271.61
R000143,O0001376,2026-04-28T11:49:00,,质量问题,pending,1321.12
R000144,O0001413,2026-03-06T11:00:00,2026-03-07T02:00:00,物流破损,approved,238.93
R000145,O0001416,2025-09-23T04:14:00,,与描述不符,pending,1502.92
R000146,O0001472,2026-06-15T16:18:00,2026-06-19T05:18:00,物流破损,approved,891.32
R000147,O0001494,2026-02-11T18:19:00,2026-02-15T07:19:00,与描述不符,approved,3412.00
R000148,O0001498,2026-02-05T07:18:00,2026-02-08T04:18:00,兼容性问题,approved,465.11
R000149,O0001503,2026-03-04T01:51:00,2026-03-06T23:51:00,兼容性问题,approved,4217.58
R000150,O0001512,2025-11-12T18:56:00,2025-11-14T20:56:00,质量问题,rejected,1144.34
R000151,O0001522,2025-09-19T10:46:00,2025-09-20T22:46:00,物流破损,approved,313.39
R000152,O0001546,2026-01-24T13:17:00,,与描述不符,pending,341.76
R000153,O0001551,2026-02-02T19:38:00,2026-02-06T19:38:00,误购,approved,1607.63
R000154,O0001559,2025-09-11T10:51:00,2025-09-13T00:51:00,兼容性问题,approved,2193.03
R000155,O0001575,2025-12-06T07:49:00,2025-12-07T12:49:00,物流破损,rejected,635.78
R000156,O0001584,2026-07-04T12:37:00,2026-07-04T17:37:00,与描述不符,approved,1006.57
R000157,O0001587,2026-01-21T00:33:00,2026-01-24T18:33:00,物流破损,approved,705.53
R000158,O0001591,2025-11-09T20:26:00,2025-11-10T10:26:00,质量问题,approved,837.01
R000159,O0001596,2026-05-03T01:51:00,,与描述不符,pending,630.20
R000160,O0001606,2026-05-16T05:29:00,2026-05-16T07:29:00,与描述不符,approved,3136.62
R000161,O0001619,2026-06-18T01:25:00,2026-06-20T18:25:00,质量问题,approved,1765.92
R000162,O0001620,2026-06-18T04:39:00,2026-06-20T13:39:00,与描述不符,approved,3752.33
R000163,O0001625,2025-08-13T17:19:00,,与描述不符,pending,2823.54
R000164,O0001631,2026-07-07T05:34:00,2026-07-10T21:34:00,误购,approved,1269.10
R000165,O0001659,2026-01-08T02:53:00,2026-01-08T22:53:00,物流破损,approved,132.27
R000166,O0001664,2026-07-14T21:34:00,,物流破损,pending,1468.01
R000167,O0001683,2026-04-29T09:37:00,2026-05-02T15:37:00,质量问题,approved,458.93
R000168,O0001697,2025-11-25T13:38:00,2025-11-28T03:38:00,兼容性问题,rejected,1212.38
R000169,O0001705,2025-11-25T00:53:00,2025-11-28T14:53:00,与描述不符,approved,1316.80
R000170,O0001707,2025-12-12T18:25:00,2025-12-15T20:25:00,兼容性问题,approved,1838.64
R000171,O0001721,2026-07-06T13:09:00,2026-07-08T15:09:00,质量问题,approved,2838.03
R000172,O0001725,2026-07-25T18:07:00,2026-07-29T09:07:00,误购,approved,345.78
R000173,O0001726,2026-02-21T02:35:00,2026-02-22T11:35:00,误购,rejected,1869.93
R000174,O0001727,2026-05-12T07:59:00,,物流破损,pending,1054.61
R000175,O0001736,2025-11-27T12:35:00,2025-11-28T17:35:00,物流破损,approved,2383.79
R000176,O0001737,2026-07-08T19:25:00,2026-07-09T13:25:00,物流破损,approved,362.86
R000177,O0001749,2026-03-20T09:16:00,2026-03-23T06:16:00,与描述不符,approved,456.67
R000178,O0001754,2025-08-25T12:12:00,2025-08-27T10:12:00,与描述不符,approved,435.96
R000179,O0001764,2025-09-14T05:44:00,2025-09-15T01:44:00,兼容性问题,rejected,470.28
R000180,O0001768,2025-12-26T19:09:00,2025-12-29T16:09:00,与描述不符,approved,1092.42
R000181,O0001771,2025-08-28T21:56:00,2025-08-29T06:56:00,物流破损,approved,1801.36
R000182,O0001777,2025-10-08T12:38:00,2025-10-10T09:38:00,物流破损,approved,3801.02
R000183,O0001784,2025-12-04T11:17:00,2025-12-05T17:17:00,与描述不符,approved,382.74
R000184,O0001790,2025-11-05T14:36:00,2025-11-08T06:36:00,与描述不符,approved,1617.39
R000185,O0001799,2026-05-22T02:28:00,2026-05-26T01:28:00,物流破损,rejected,494.97
R000186,O0001806,2026-06-29T12:41:00,2026-07-01T09:41:00,兼容性问题,approved,120.94
R000187,O0001816,2026-08-05T22:38:00,2026-08-09T08:38:00,与描述不符,rejected,2717.61
R000188,O0001840,2026-03-28T23:52:00,2026-03-31T20:52:00,质量问题,rejected,1012.01
R000189,O0001842,2026-06-23T20:13:00,2026-06-26T09:13:00,与描述不符,approved,1584.17
R000190,O0001873,2025-10-21T22:02:00,2025-10-25T21:02:00,与描述不符,approved,363.63
R000191,O0001880,2026-02-07T16:23:00,2026-02-09T08:23:00,与描述不符,approved,148.78
R000192,O0001885,2026-08-12T01:49:00,2026-08-12T08:49:00,物流破损,approved,982.97
R000193,O0001893,2025-10-27T05:38:00,2025-10-27T20:38:00,与描述不符,approved,1565.73
R000194,O0001895,2026-06-06T09:41:00,2026-06-08T19:41:00,物流破损,approved,660.49
R000195,O0001896,2026-07-02T22:57:00,2026-07-04T23:57:00,物流破损,rejected,1181.62
R000196,O0001922,2026-04-11T10:31:00,,质量问题,pending,2151.32
R000197,O0001940,2026-03-14T18:17:00,,兼容性问题,pending,76.63
R000198,O0001947,2026-07-05T22:44:00,2026-07-09T04:44:00,质量问题,approved,3026.45
R000199,O0001956,2026-01-11T22:20:00,2026-01-14T04:20:00,兼容性问题,rejected,1589.33
R000200,O0001959,2026-01-15T20:38:00,2026-01-17T18:38:00,兼容性问题,approved,2802.16
R000201,O0001974,2026-05-21T11:26:00,,物流破损,pending,1467.44
R000202,O0002008,2026-04-16T04:20:00,2026-04-19T20:20:00,误购,approved,2052.29
R000203,O0002013,2026-03-26T05:32:00,,误购,pending,2880.31
R000204,O0002018,2025-12-22T17:57:00,2025-12-26T08:57:00,兼容性问题,approved,469.57
R000205,O0002026,2026-01-02T12:29:00,2026-01-03T01:29:00,兼容性问题,approved,595.31
R000206,O0002035,2026-05-03T16:18:00,2026-05-05T15:18:00,兼容性问题,approved,293.89
R000207,O0002044,2025-11-10T06:02:00,2025-11-13T04:02:00,物流破损,approved,1248.06
R000208,O0002062,2026-01-01T21:19:00,2026-01-04T10:19:00,物流破损,approved,1147.76
R000209,O0002075,2025-12-21T03:02:00,,物流破损,pending,2145.88
R000210,O0002098,2026-06-01T01:39:00,2026-06-04T12:39:00,质量问题,rejected,76.52
R000211,O0002101,2026-05-06T22:08:00,2026-05-08T19:08:00,兼容性问题,approved,918.74
R000212,O0002155,2026-01-04T16:39:00,2026-01-08T00:39:00,质量问题,approved,2926.60
R000213,O0002166,2026-03-03T18:58:00,2026-03-06T22:58:00,误购,approved,1079.34
R000214,O0002171,2026-04-04T13:51:00,2026-04-07T18:51:00,误购,approved,884.28
R000215,O0002174,2025-08-07T19:41:00,2025-08-08T00:41:00,质量问题,approved,290.79
R000216,O0002175,2026-05-04T18:46:00,2026-05-06T03:46:00,兼容性问题,approved,2516.58
R000217,O0002188,2026-07-11T10:08:00,2026-07-13T03:08:00,与描述不符,approved,849.57
R000218,O0002191,2025-12-03T05:37:00,2025-12-04T10:37:00,误购,approved,3990.76
R000219,O0002205,2025-12-13T09:07:00,2025-12-13T23:07:00,误购,rejected,607.86
R000220,O0002209,2025-09-01T19:30:00,2025-09-02T14:30:00,与描述不符,approved,2046.63
R000221,O0002216,2025-10-21T06:49:00,2025-10-21T20:49:00,误购,approved,179.59
R000222,O0002243,2025-08-17T09:09:00,2025-08-19T20:09:00,物流破损,approved,2660.80
R000223,O0002245,2026-08-04T08:00:00,2026-08-05T17:00:00,兼容性问题,approved,1006.84
R000224,O0002269,2025-08-29T18:52:00,,误购,pending,304.33
R000225,O0002275,2026-03-09T02:32:00,2026-03-12T22:32:00,与描述不符,approved,588.49
R000226,O0002292,2025-11-06T06:53:00,2025-11-08T18:53:00,兼容性问题,approved,5233.68
R000227,O0002298,2026-06-14T15:50:00,2026-06-15T23:50:00,质量问题,rejected,458.56
R000228,O0002325,2026-08-07T17:07:00,2026-08-10T09:07:00,质量问题,approved,1988.31
R000229,O0002328,2025-12-10T19:37:00,2025-12-12T06:37:00,质量问题,approved,2424.25
R000230,O0002331,2025-09-07T09:10:00,2025-09-10T17:10:00,误购,approved,346.28
R000231,O0002346,2026-07-02T09:50:00,2026-07-02T16:50:00,物流破损,approved,1518.16
R000232,O0002354,2025-12-14T10:52:00,2025-12-14T22:52:00,物流破损,approved,329.54
R000233,O0002355,2025-08-31T22:15:00,2025-09-04T08:15:00,与描述不符,approved,777.05
R000234,O0002381,2025-08-22T04:40:00,2025-08-24T13:40:00,兼容性问题,approved,1952.80
R000235,O0002398,2026-05-28T22:03:00,,与描述不符,pending,1635.10
