change_id,instance_id,changed_ts,change_type,description,operator,approved
CHG-0049,DB009,2026-08-06T04:50:00,扩缩容,合成演示变更，不对应任何真实系统。,demo-engineer,true
CHG-0050,DB005,2026-08-05T06:04:00,索引,合成演示变更，不对应任何真实系统。,demo-automation,true
CHG-0051,DB003,2026-08-07T21:32:00,发布,合成演示变更，不对应任何真实系统。,demo-automation,true
CHG-0052,DB010,2026-08-05T02:07:00,配置,合成演示变更，不对应任何真实系统。,demo-automation,true
CHG-0053,DB001,2026-08-03T01:14:00,扩缩容,合成演示变更，不对应任何真实系统。,demo-automation,true
CHG-0054,DB010,2026-08-02T00:04:00,扩缩容,合成演示变更，不对应任何真实系统。,demo-automation,false
CHG-0055,DB002,2026-08-04T01:19:00,维护,合成演示变更，不对应任何真实系统。,demo-engineer,true
CHG-0056,DB006,2026-08-04T15:26:00,配置,合成演示变更，不对应任何真实系统。,demo-engineer,true
CHG-0057,DB005,2026-08-07T09:55:00,索引,合成演示变更，不对应任何真实系统。,demo-automation,true
CHG-0058,DB004,2026-08-02T00:31:00,维护,合成演示变更，不对应任何真实系统。,demo-engineer,true
CHG-0059,DB009,2026-08-07T23:25:00,维护,合成演示变更，不对应任何真实系统。,demo-engineer,true
CHG-0060,DB004,2026-08-04T21:15:00,索引,合成演示变更，不对应任何真实系统。,demo-engineer,true
CHG-0061,DB003,2026-08-03T09:45:00,发布,报表查询模板变更，包含低选择性过滤。,demo-automation,true
CHG-0062,DB007,2026-08-05T13:40:00,配置,批处理事务批次从 100 调整为 5000。,demo-automation,true
CHG-0063,DB009,2026-08-06T01:30:00,配置,应用连接池最大连接数和空闲回收参数变更。,demo-automation,true
