order_id,customer_id,order_ts,channel,status,region,payment_method,total_amount
O0000083,C00267,2026-07-13T17:06:00,partner,completed,华北,bank_transfer,6031.61
O0000084,C00087,2026-01-09T05:14:00,mobile,completed,华北,bank_transfer,2041.52
O0000085,C00274,2026-07-01T19:43:00,mobile,completed,西南,bank_transfer,682.56
O0000086,C00299,2026-02-18T12:53:00,store,completed,华北,wallet,3407.71
O0000087,C00154,2025-08-01T10:58:00,mobile,processing,东北,card,4024.06
O0000088,C00153,2025-09-14T12:08:00,store,shipped,西南,card,5208.42
O0000089,C00083,2025-11-24T18:02:00,partner,completed,华南,card,3032.26
O0000090,C00253,2026-01-21T14:19:00,partner,completed,华南,wallet,2645.57
O0000091,C00066,2026-04-16T09:10:00,partner,completed,西南,bank_transfer,1147.88
O0000092,C00282,2025-10-12T23:23:00,store,completed,华北,wallet,3234.57
O0000093,C00196,2025-09-17T12:35:00,mobile,completed,华北,bank_transfer,1465.08
O0000094,C00106,2026-02-17T07:41:00,partner,completed,华东,card,1293.33
O0000095,C00159,2026-02-14T04:02:00,store,completed,西南,wallet,1759.30
O0000096,C00241,2026-02-02T05:00:00,store,shipped,东北,wallet,4374.24
O0000097,C00257,2025-09-20T19:13:00,mobile,processing,华东,wallet,2671.26
O0000098,C00212,2026-05-01T01:45:00,partner,completed,华南,card,2290.41
O0000099,C00026,2026-07-05T13:06:00,web,shipped,华东,wallet,2090.53
O0000100,C00053,2026-07-27T13:58:00,mobile,cancelled,西南,wallet,0.00
O0000101,C00064,2025-08-26T12:24:00,store,completed,西南,card,3261.73
O0000102,C00025,2025-12-04T12:30:00,partner,processing,华南,wallet,2875.16
O0000103,C00117,2026-01-13T07:56:00,partner,completed,华东,card,759.32
O0000104,C00254,2025-12-19T19:43:00,store,completed,华南,card,1508.24
O0000105,C00106,2025-11-07T17:34:00,mobile,shipped,华东,wallet,2265.16
O0000106,C00078,2025-09-15T13:36:00,web,completed,东北,bank_transfer,672.66
O0000107,C00059,2025-11-17T03:39:00,store,completed,华东,card,985.92
O0000108,C00086,2026-01-11T16:19:00,partner,completed,西南,card,1492.73
O0000109,C00235,2025-08-02T23:11:00,partner,completed,华北,bank_transfer,1178.62
O0000110,C00086,2026-04-03T01:23:00,store,completed,西南,wallet,326.27
O0000111,C00210,2026-04-21T09:01:00,mobile,completed,西南,wallet,4602.50
O0000112,C00080,2026-05-04T05:14:00,store,completed,华南,bank_transfer,2357.24
O0000113,C00124,2026-07-07T22:17:00,web,completed,东北,bank_transfer,2322.77
O0000114,C00034,2025-12-07T09:43:00,mobile,completed,华东,bank_transfer,755.57
O0000115,C00030,2026-03-08T04:56:00,web,completed,东北,wallet,595.34
O0000116,C00239,2025-10-21T22:48:00,web,completed,华北,wallet,1804.94
O0000117,C00079,2026-04-19T09:24:00,mobile,cancelled,华北,bank_transfer,0.00
O0000118,C00227,2026-05-30T07:40:00,web,completed,西南,card,5302.36
O0000119,C00279,2025-11-02T08:26:00,mobile,completed,西南,bank_transfer,3480.81
O0000120,C00110,2026-06-04T18:19:00,partner,completed,东北,card,1916.38
O0000121,C00167,2026-04-15T08:23:00,store,completed,华北,card,985.61
O0000122,C00017,2025-08-18T11:35:00,partner,completed,东北,wallet,1291.40
O0000123,C00024,2026-04-05T20:32:00,web,cancelled,华北,wallet,0.00
O0000124,C00246,2026-06-10T09:47:00,store,processing,华东,card,2652.36
O0000125,C00094,2025-12-29T13:40:00,web,completed,华南,card,3679.70
O0000126,C00244,2026-05-09T23:59:00,store,completed,华东,wallet,2251.82
O0000127,C00194,2026-04-28T04:59:00,partner,completed,华南,card,120.19
O0000128,C00104,2026-06-13T07:39:00,mobile,completed,东北,wallet,4954.55
O0000129,C00138,2026-06-24T12:39:00,store,completed,东北,card,5787.46
O0000130,C00222,2025-08-02T16:31:00,mobile,completed,华北,wallet,3510.65
O0000131,C00110,2025-12-30T20:11:00,store,completed,东北,card,2209.61
O0000132,C00277,2025-11-23T21:52:00,store,completed,东北,card,1541.63
O0000133,C00197,2025-09-08T20:16:00,partner,completed,西南,bank_transfer,2285.40
O0000134,C00001,2026-06-28T14:27:00,store,completed,东北,bank_transfer,4029.91
O0000135,C00225,2026-05-19T15:51:00,web,cancelled,华东,wallet,0.00
O0000136,C00231,2026-01-13T02:41:00,web,completed,华北,wallet,208.72
O0000137,C00157,2026-05-04T06:40:00,web,completed,华东,bank_transfer,1578.77
O0000138,C00207,2025-12-05T04:27:00,mobile,completed,华北,card,1286.45
O0000139,C00191,2025-10-01T19:54:00,partner,cancelled,华东,bank_transfer,0.00
O0000140,C00037,2026-02-06T16:27:00,store,completed,华东,card,1492.75
O0000141,C00292,2026-01-30T11:54:00,partner,completed,西南,card,3343.84
O0000142,C00006,2025-10-20T08:29:00,store,completed,华南,bank_transfer,4754.76
O0000143,C00112,2026-07-15T22:57:00,partner,completed,华北,wallet,1536.10
O0000144,C00157,2025-09-02T01:58:00,web,completed,华东,wallet,3051.58
O0000145,C00002,2026-01-01T10:41:00,store,completed,华北,wallet,377.06
O0000146,C00268,2025-12-23T21:55:00,partner,completed,华东,card,350.85
O0000147,C00134,2025-11-08T10:12:00,web,completed,华北,bank_transfer,1162.26
O0000148,C00217,2025-10-23T17:13:00,mobile,completed,东北,wallet,3173.99
O0000149,C00132,2026-01-10T15:07:00,mobile,completed,东北,card,226.19
O0000150,C00087,2025-12-19T19:10:00,web,completed,华北,card,794.06
O0000151,C00096,2026-05-28T06:15:00,web,completed,西南,bank_transfer,2388.90
O0000152,C00112,2026-03-24T22:42:00,web,completed,华北,bank_transfer,6553.95
O0000153,C00121,2026-04-15T03:04:00,web,completed,华南,card,1469.62
O0000154,C00051,2026-04-25T01:56:00,store,cancelled,东北,card,0.00
O0000155,C00232,2026-07-18T00:49:00,mobile,completed,东北,card,2892.43
O0000156,C00005,2026-02-24T01:09:00,partner,completed,华南,card,1710.14
O0000157,C00146,2026-03-29T06:18:00,mobile,completed,华北,bank_transfer,568.23
O0000158,C00047,2026-04-10T15:44:00,store,shipped,华南,bank_transfer,2547.89
O0000159,C00046,2026-07-18T03:08:00,partner,completed,华北,bank_transfer,1521.07
O0000160,C00261,2026-03-18T11:43:00,partner,completed,华北,bank_transfer,2807.31
O0000161,C00133,2025-09-19T17:04:00,store,completed,华南,card,3399.66
O0000162,C00016,2026-03-25T21:04:00,store,completed,华北,card,3920.57
O0000163,C00082,2026-01-05T16:18:00,store,completed,华东,card,2045.28
O0000164,C00222,2026-07-28T16:38:00,web,completed,华北,bank_transfer,3007.99
O0000165,C00195,2026-02-08T17:05:00,partner,completed,东北,wallet,2059.15
O0000166,C00070,2026-03-24T02:14:00,mobile,completed,西南,card,1387.02
O0000167,C00285,2025-12-18T13:19:00,web,completed,西南,card,5432.91
O0000168,C00265,2025-08-24T14:39:00,web,completed,西南,wallet,2701.03
O0000169,C00089,2025-09-12T22:06:00,mobile,shipped,西南,bank_transfer,1133.54
O0000170,C00294,2025-08-06T05:44:00,partner,processing,东北,card,3565.71
O0000171,C00238,2026-02-22T22:02:00,web,completed,华东,wallet,2754.71
O0000172,C00096,2026-01-11T16:25:00,mobile,completed,西南,bank_transfer,571.76
O0000173,C00279,2026-07-14T09:37:00,partner,completed,西南,bank_transfer,1876.87
O0000174,C00271,2025-11-14T05:38:00,partner,completed,东北,wallet,2202.95
O0000175,C00162,2026-02-22T21:55:00,store,processing,华北,bank_transfer,1587.18
O0000176,C00036,2025-11-10T08:22:00,store,completed,华北,bank_transfer,2981.48
O0000177,C00026,2025-10-10T01:45:00,partner,completed,华东,card,3537.46
O0000178,C00023,2026-03-17T15:55:00,web,completed,华东,card,1116.59
O0000179,C00130,2026-04-01T22:19:00,web,completed,华北,bank_transfer,1799.82
O0000180,C00237,2026-07-25T17:33:00,store,shipped,华北,bank_transfer,2549.88
O0000181,C00041,2025-08-08T02:09:00,web,completed,东北,wallet,2062.34
O0000182,C00284,2025-12-31T00:05:00,partner,cancelled,华南,card,0.00
O0000183,C00250,2025-09-09T07:56:00,store,processing,东北,card,1618.74
O0000184,C00190,2026-06-18T04:34:00,mobile,completed,华南,card,5405.29
O0000185,C00299,2025-10-31T00:12:00,mobile,completed,华北,wallet,3060.26
O0000186,C00024,2025-10-27T22:19:00,web,completed,华北,wallet,1089.13
O0000187,C00130,2025-08-19T08:58:00,partner,completed,华北,wallet,2286.39
O0000188,C00264,2025-10-11T23:30:00,partner,completed,华南,bank_transfer,1819.60
O0000189,C00240,2026-07-26T00:55:00,partner,processing,华南,wallet,8289.99
O0000190,C00222,2025-08-02T06:53:00,partner,completed,华北,card,1580.61
O0000191,C00296,2026-05-28T13:41:00,web,completed,西南,card,1875.60
O0000192,C00072,2025-11-11T15:14:00,store,completed,华东,card,4945.81
O0000193,C00108,2026-04-12T14:05:00,partner,completed,华南,wallet,3526.99
O0000194,C00093,2025-08-27T03:57:00,mobile,shipped,华南,bank_transfer,992.32
O0000195,C00267,2025-11-20T16:24:00,mobile,shipped,华北,wallet,1460.32
O0000196,C00007,2025-08-05T16:29:00,partner,cancelled,华东,wallet,0.00
O0000197,C00251,2026-06-04T15:06:00,store,completed,华东,bank_transfer,2422.89
O0000198,C00246,2026-02-28T06:31:00,partner,completed,华东,bank_transfer,1458.67
O0000199,C00230,2025-08-30T13:36:00,store,completed,西南,card,961.47
O0000200,C00051,2025-09-24T08:25:00,web,completed,东北,card,3063.22
O0000201,C00268,2025-11-06T12:42:00,partner,shipped,华东,bank_transfer,1456.78
O0000202,C00167,2026-07-18T15:31:00,web,completed,华北,wallet,281.75
O0000203,C00226,2025-09-11T06:29:00,partner,completed,西南,wallet,4503.45
O0000204,C00152,2026-01-17T12:49:00,partner,completed,华北,bank_transfer,1452.62
O0000205,C00038,2026-04-15T18:01:00,mobile,completed,华南,wallet,1317.76
O0000206,C00170,2026-03-16T19:38:00,store,completed,华南,bank_transfer,5384.94
O0000207,C00248,2025-11-04T02:27:00,store,completed,华北,card,2122.83
O0000208,C00249,2025-10-17T05:31:00,partner,shipped,华东,card,4717.65
O0000209,C00131,2025-12-14T18:08:00,mobile,processing,西南,wallet,2175.77
O0000210,C00184,2026-03-12T20:46:00,web,completed,西南,bank_transfer,754.36
O0000211,C00166,2025-11-11T13:53:00,web,completed,东北,bank_transfer,2323.99
O0000212,C00235,2025-12-02T00:29:00,store,processing,华北,bank_transfer,4018.62
O0000213,C00232,2025-11-03T20:51:00,web,completed,东北,bank_transfer,1510.93
O0000214,C00063,2026-07-12T08:46:00,store,completed,华北,card,4549.91
O0000215,C00025,2025-10-12T09:43:00,partner,completed,华南,card,1231.38
O0000216,C00278,2026-06-28T06:50:00,web,completed,华南,bank_transfer,1182.60
O0000217,C00196,2026-02-12T21:24:00,partner,completed,华北,bank_transfer,1690.82
O0000218,C00151,2026-04-12T03:47:00,store,completed,华东,bank_transfer,577.57
O0000219,C00285,2025-11-03T22:03:00,partner,processing,西南,bank_transfer,2267.22
O0000220,C00152,2026-06-19T20:43:00,store,completed,华北,bank_transfer,2064.80
O0000221,C00251,2025-08-05T08:04:00,mobile,completed,华东,bank_transfer,133.54
O0000222,C00226,2025-11-06T22:28:00,mobile,completed,西南,bank_transfer,1050.69
O0000223,C00034,2025-10-10T05:03:00,store,completed,华东,card,4304.08
O0000224,C00100,2026-05-21T20:06:00,partner,completed,华南,bank_transfer,1993.67
O0000225,C00227,2026-07-13T10:10:00,store,completed,西南,card,2550.85
O0000226,C00204,2025-09-06T19:37:00,partner,completed,华东,card,1720.89
O0000227,C00164,2025-09-05T17:43:00,web,cancelled,东北,wallet,0.00
O0000228,C00106,2026-01-08T14:27:00,web,completed,华东,card,3979.84
O0000229,C00226,2026-07-14T11:02:00,mobile,processing,西南,bank_transfer,3000.80
O0000230,C00226,2026-01-13T13:27:00,store,completed,西南,card,1696.86
O0000231,C00264,2026-01-08T17:59:00,web,completed,华南,wallet,4058.19
O0000232,C00217,2025-09-27T13:47:00,web,completed,东北,card,1130.26
O0000233,C00088,2026-04-15T19:53:00,partner,completed,华南,card,3288.60
O0000234,C00081,2025-10-28T00:25:00,web,completed,华北,card,1891.57
O0000235,C00259,2025-08-28T22:31:00,web,completed,西南,wallet,762.29
O0000236,C00027,2025-12-01T03:56:00,store,completed,华南,wallet,839.52
O0000237,C00031,2026-04-04T10:49:00,web,completed,西南,wallet,1147.88
O0000238,C00148,2026-04-06T09:14:00,store,shipped,华北,wallet,3617.09
O0000239,C00045,2025-09-21T20:43:00,mobile,processing,华南,wallet,3992.99
O0000240,C00165,2026-06-25T07:12:00,mobile,completed,西南,card,1278.95
O0000241,C00050,2026-05-18T03:57:00,mobile,completed,华北,bank_transfer,3118.98
O0000242,C00251,2026-02-10T17:10:00,web,completed,华东,bank_transfer,7043.39
O0000243,C00209,2026-01-10T23:23:00,store,completed,华北,card,762.29
O0000244,C00263,2026-04-26T22:32:00,partner,cancelled,华北,card,0.00
O0000245,C00001,2026-03-07T03:30:00,store,completed,东北,wallet,253.73
O0000246,C00145,2026-05-09T23:43:00,store,completed,东北,wallet,3018.69
O0000247,C00153,2025-11-05T20:28:00,partner,completed,西南,bank_transfer,884.77
O0000248,C00154,2025-09-09T01:59:00,mobile,completed,东北,card,2878.18
O0000249,C00106,2025-09-27T15:23:00,partner,completed,华东,bank_transfer,3192.81
O0000250,C00106,2025-10-15T01:22:00,store,completed,华东,wallet,348.45
O0000251,C00267,2026-02-28T03:53:00,partner,completed,华北,bank_transfer,627.21
O0000252,C00282,2026-04-27T19:38:00,store,completed,华北,bank_transfer,1054.76
O0000253,C00230,2026-07-11T14:40:00,partner,shipped,西南,card,2125.23
O0000254,C00244,2025-11-25T09:06:00,partner,processing,华东,card,2991.26
O0000255,C00247,2026-02-12T20:15:00,partner,completed,华北,bank_transfer,1775.84
O0000256,C00109,2026-04-19T06:24:00,mobile,completed,华东,bank_transfer,4008.97
O0000257,C00290,2026-02-19T06:40:00,partner,completed,华北,wallet,478.98
O0000258,C00011,2025-10-10T01:27:00,store,completed,东北,wallet,252.39
O0000259,C00176,2025-08-20T02:56:00,web,completed,西南,bank_transfer,1472.56
O0000260,C00268,2026-02-02T03:35:00,mobile,completed,华东,card,2411.13
O0000261,C00099,2025-12-20T05:44:00,mobile,completed,西南,wallet,1554.93
O0000262,C00056,2026-04-27T06:25:00,partner,completed,东北,wallet,1767.56
O0000263,C00007,2026-05-20T18:02:00,web,processing,华东,card,2370.59
O0000264,C00189,2026-01-04T14:38:00,store,completed,西南,bank_transfer,2034.41
O0000265,C00143,2026-04-01T08:26:00,web,completed,西南,wallet,3012.79
O0000266,C00282,2025-08-02T20:45:00,web,completed,华北,card,1596.23
O0000267,C00199,2025-09-19T19:57:00,store,completed,华南,bank_transfer,563.40
O0000268,C00042,2026-07-29T11:20:00,store,processing,华北,wallet,1394.88
O0000269,C00294,2026-05-11T13:15:00,web,completed,东北,bank_transfer,2315.66
O0000270,C00208,2026-07-17T01:45:00,partner,completed,西南,wallet,1292.28
O0000271,C00098,2026-07-09T05:56:00,store,completed,华南,wallet,326.27
O0000272,C00297,2025-11-21T04:25:00,partner,completed,华东,card,2737.61
O0000273,C00276,2025-12-21T02:40:00,store,completed,东北,wallet,2944.23
O0000274,C00244,2026-03-15T22:24:00,partner,completed,华东,wallet,4836.65
O0000275,C00071,2025-11-11T06:15:00,web,completed,东北,wallet,893.32
O0000276,C00185,2025-10-12T18:48:00,partner,completed,西南,card,2791.96
O0000277,C00127,2026-07-14T21:18:00,web,completed,华东,wallet,2424.23
O0000278,C00222,2025-08-11T14:32:00,web,cancelled,华北,bank_transfer,0.00
O0000279,C00275,2025-09-21T01:24:00,partner,completed,华北,bank_transfer,3277.70
O0000280,C00157,2025-09-25T05:08:00,store,completed,华东,wallet,2413.61
O0000281,C00044,2026-06-01T14:54:00,store,completed,华东,bank_transfer,313.06
O0000282,C00255,2026-02-03T16:21:00,partner,completed,华北,bank_transfer,1487.16
O0000283,C00180,2025-08-16T09:32:00,web,completed,东北,bank_transfer,1748.76
O0000284,C00047,2025-08-08T07:00:00,partner,completed,华南,bank_transfer,2464.67
O0000285,C00075,2026-01-05T20:48:00,store,completed,华东,card,933.73
O0000286,C00079,2026-07-22T13:50:00,mobile,completed,华北,bank_transfer,3718.29
O0000287,C00077,2025-09-10T02:37:00,partner,completed,东北,card,84.75
O0000288,C00051,2026-01-20T01:03:00,web,shipped,东北,bank_transfer,615.24
O0000289,C00049,2025-12-14T22:04:00,mobile,shipped,华东,wallet,2061.30
O0000290,C00020,2026-02-03T09:14:00,store,completed,西南,wallet,2875.49
O0000291,C00256,2026-02-09T19:48:00,store,completed,西南,card,1988.57
O0000292,C00066,2026-07-12T05:37:00,store,completed,西南,wallet,3849.50
O0000293,C00109,2025-12-11T18:59:00,web,completed,华东,card,4608.33
O0000294,C00206,2026-03-14T05:16:00,mobile,shipped,西南,wallet,1967.84
O0000295,C00262,2025-12-03T19:02:00,web,completed,华北,wallet,2101.28
O0000296,C00221,2025-11-13T00:54:00,web,completed,华东,bank_transfer,5231.36
O0000297,C00146,2026-02-08T08:24:00,store,cancelled,华北,bank_transfer,0.00
O0000298,C00063,2026-07-06T01:57:00,mobile,shipped,华北,card,2592.89
O0000299,C00080,2025-12-16T20:26:00,store,completed,华南,wallet,3257.10
O0000300,C00106,2026-06-04T11:24:00,store,completed,华东,wallet,4248.76
O0000301,C00144,2025-08-25T22:28:00,web,shipped,西南,wallet,2358.68
O0000302,C00011,2026-03-21T15:28:00,partner,completed,东北,card,1906.35
O0000303,C00165,2025-12-17T09:56:00,store,shipped,西南,bank_transfer,1468.05
O0000304,C00178,2026-07-12T07:58:00,store,completed,华北,wallet,2573.35
O0000305,C00070,2026-04-10T01:21:00,mobile,completed,西南,bank_transfer,3706.61
O0000306,C00119,2025-12-12T12:22:00,store,processing,华北,card,1320.86
O0000307,C00123,2026-03-18T16:45:00,web,completed,华东,bank_transfer,3241.11
O0000308,C00267,2026-01-13T02:00:00,web,completed,华北,wallet,4280.29
O0000309,C00046,2026-04-07T14:01:00,store,completed,华北,card,633.59
O0000310,C00295,2026-03-20T01:45:00,web,completed,华南,bank_transfer,2998.63
O0000311,C00136,2026-07-30T01:54:00,web,completed,华东,wallet,2186.85
O0000312,C00066,2026-04-06T12:01:00,web,completed,西南,wallet,1002.35
O0000313,C00239,2026-01-23T06:10:00,web,completed,华北,bank_transfer,1681.65
O0000314,C00197,2025-08-06T16:08:00,mobile,shipped,西南,card,4028.18
O0000315,C00193,2026-01-28T21:27:00,web,completed,东北,bank_transfer,1996.32
O0000316,C00029,2025-09-12T17:16:00,web,processing,西南,card,3149.18
O0000317,C00105,2026-06-09T23:30:00,partner,completed,东北,wallet,1321.81
O0000318,C00185,2026-01-02T23:01:00,mobile,completed,西南,bank_transfer,1159.91
O0000319,C00172,2026-06-23T15:46:00,mobile,completed,西南,bank_transfer,326.27
O0000320,C00110,2025-08-14T07:27:00,partner,shipped,东北,bank_transfer,668.79
O0000321,C00146,2025-12-29T02:05:00,mobile,completed,华北,bank_transfer,2233.33
O0000322,C00223,2026-07-07T07:06:00,mobile,completed,东北,bank_transfer,5544.38
O0000323,C00199,2025-12-11T14:34:00,web,completed,华南,card,3088.05
O0000324,C00158,2025-11-02T16:48:00,store,completed,华北,bank_transfer,3354.90
O0000325,C00041,2026-03-18T03:57:00,store,completed,东北,card,1194.16
O0000326,C00176,2026-06-07T17:23:00,web,completed,西南,wallet,1144.08
O0000327,C00218,2025-12-04T18:46:00,web,shipped,华北,bank_transfer,427.79
O0000328,C00264,2026-07-16T09:00:00,mobile,processing,华南,wallet,1494.25
O0000329,C00063,2025-08-27T21:23:00,partner,completed,华北,bank_transfer,231.91
O0000330,C00003,2026-05-29T14:36:00,mobile,completed,东北,wallet,2853.96
O0000331,C00252,2025-09-10T18:43:00,store,completed,华东,wallet,1400.57
O0000332,C00216,2026-06-16T15:00:00,store,completed,华南,wallet,2341.23
O0000333,C00087,2026-03-19T05:11:00,web,cancelled,华北,bank_transfer,0.00
O0000334,C00092,2026-07-01T16:33:00,web,processing,华南,card,3092.42
O0000335,C00163,2025-08-30T11:28:00,mobile,completed,华东,card,4587.67
O0000336,C00109,2025-12-30T16:47:00,web,completed,华东,bank_transfer,1885.10
O0000337,C00112,2025-12-22T06:20:00,web,completed,华北,card,903.76
O0000338,C00084,2026-03-30T18:27:00,web,completed,华北,wallet,1956.59
O0000339,C00009,2025-09-22T09:22:00,web,completed,西南,card,3565.12
O0000340,C00112,2026-06-13T02:28:00,store,completed,华北,card,674.72
O0000341,C00297,2025-09-21T15:02:00,mobile,completed,华东,card,3599.93
O0000342,C00164,2026-03-18T02:04:00,mobile,completed,东北,wallet,3670.25
O0000343,C00033,2026-04-10T15:33:00,web,completed,华南,bank_transfer,3231.87
O0000344,C00043,2025-11-27T09:06:00,partner,completed,东北,card,2369.77
O0000345,C00024,2026-02-08T12:49:00,partner,completed,华北,bank_transfer,1715.28
O0000346,C00034,2026-07-14T08:00:00,store,completed,华东,card,218.51
O0000347,C00060,2025-11-03T20:15:00,partner,completed,西南,card,1880.00
O0000348,C00265,2025-09-21T09:42:00,mobile,shipped,西南,bank_transfer,604.83
