instance_id,observed_ts,cpu_pct,memory_pct,qps,p95_latency_ms,active_connections,lock_waits,error_rate
DB001,2026-08-01T09:15:00,20.60,55.99,1139.81,39.42,24,0,0.00983
DB001,2026-08-01T09:30:00,29.21,67.78,962.77,37.56,48,3,0.00449
DB001,2026-08-01T09:45:00,29.90,60.85,903.70,13.44,36,3,0.00168
DB001,2026-08-01T10:00:00,18.95,61.13,941.36,18.81,55,0,0.01499
DB001,2026-08-01T10:15:00,20.05,53.79,1061.27,22.87,90,3,0.01106
DB001,2026-08-01T10:30:00,17.95,58.83,1064.01,25.18,34,3,0.00438
DB001,2026-08-01T10:45:00,19.96,57.80,1005.01,27.07,46,0,0.01333
DB001,2026-08-01T11:00:00,26.20,55.79,1017.80,21.99,66,1,0.00048
DB001,2026-08-01T11:15:00,24.23,60.57,961.75,28.58,72,0,0.01112
DB001,2026-08-01T11:30:00,19.68,59.62,883.15,24.16,89,1,0.01487
DB001,2026-08-01T11:45:00,19.00,61.82,910.40,47.77,43,0,0.00040
DB001,2026-08-01T12:00:00,23.93,53.15,1108.61,44.03,64,2,0.00195
DB001,2026-08-01T12:15:00,18.63,56.60,1046.04,44.30,42,2,0.01600
DB001,2026-08-01T12:30:00,29.72,66.96,1011.54,29.65,80,3,0.01124
DB001,2026-08-01T12:45:00,26.49,56.59,1002.49,41.63,84,0,0.01086
DB001,2026-08-01T13:00:00,17.80,50.75,1136.70,20.10,29,0,0.00595
DB001,2026-08-01T13:15:00,23.46,51.34,1147.61,16.20,54,0,0.01472
DB001,2026-08-01T13:30:00,27.16,47.52,1020.02,32.21,25,0,0.01282
DB001,2026-08-01T13:45:00,26.37,67.45,1074.30,19.50,36,3,0.00285
DB001,2026-08-01T14:00:00,17.71,58.83,978.10,37.18,59,1,0.00632
DB001,2026-08-01T14:15:00,25.92,51.43,935.97,30.43,82,2,0.01270
DB001,2026-08-01T14:30:00,28.17,57.29,1143.51,22.58,30,2,0.00651
DB001,2026-08-01T14:45:00,19.34,65.55,1202.96,19.03,70,0,0.00396
DB001,2026-08-01T15:00:00,17.27,49.91,926.41,19.03,31,3,0.01741
DB001,2026-08-01T15:15:00,26.99,57.32,1005.52,42.82,32,3,0.00896
DB001,2026-08-01T15:30:00,23.01,62.17,1059.06,43.17,63,0,0.00852
DB001,2026-08-01T15:45:00,20.21,67.60,1166.66,45.45,20,2,0.00001
DB001,2026-08-01T16:00:00,25.56,64.25,974.25,14.53,26,2,0.00622
DB001,2026-08-01T16:15:00,25.93,55.51,1091.52,40.08,62,1,0.00513
DB001,2026-08-01T16:30:00,23.96,52.95,1182.33,23.52,66,1,0.01659
DB001,2026-08-01T16:45:00,29.86,50.22,1155.54,38.40,87,3,0.01052
DB001,2026-08-01T17:00:00,18.84,50.71,1178.88,29.46,26,3,0.01656
DB001,2026-08-01T17:15:00,25.82,58.14,1138.66,20.95,32,3,0.01004
DB001,2026-08-01T17:30:00,25.98,64.68,893.47,30.67,64,3,0.00302
DB001,2026-08-01T17:45:00,20.67,55.41,1204.96,35.97,69,3,0.01423
DB001,2026-08-01T18:00:00,25.63,63.01,1166.77,35.69,39,3,0.01578
DB001,2026-08-01T18:15:00,17.24,50.99,1050.14,39.95,70,3,0.01230
DB001,2026-08-01T18:30:00,21.10,63.53,1061.31,18.19,19,3,0.00591
DB001,2026-08-01T18:45:00,17.68,55.48,1038.77,44.36,38,3,0.01216
DB001,2026-08-01T19:00:00,20.09,60.23,1060.35,35.79,86,0,0.00436
DB001,2026-08-01T19:15:00,26.86,49.20,916.23,26.92,88,1,0.01661
DB001,2026-08-01T19:30:00,26.54,45.42,893.47,36.37,44,1,0.00284
DB001,2026-08-01T19:45:00,24.37,49.72,940.33,23.67,23,0,0.01186
DB001,2026-08-01T20:00:00,27.71,67.87,1146.07,13.78,29,0,0.00315
DB001,2026-08-01T20:15:00,27.72,48.80,1169.86,17.49,53,3,0.00629
DB001,2026-08-01T20:30:00,23.73,54.10,1041.76,14.30,64,0,0.00887
DB001,2026-08-01T20:45:00,24.52,63.99,1141.16,12.21,20,1,0.01716
DB001,2026-08-01T21:00:00,18.99,52.08,944.17,32.56,75,2,0.00222
DB001,2026-08-01T21:15:00,17.93,50.22,878.07,16.09,64,2,0.00320
DB001,2026-08-01T21:30:00,24.34,52.19,1110.86,24.90,82,1,0.00236
DB001,2026-08-01T21:45:00,24.20,62.35,962.76,41.94,64,3,0.00908
DB001,2026-08-01T22:00:00,17.64,66.73,515.94,22.23,61,0,0.01746
DB001,2026-08-01T22:15:00,13.75,53.32,597.05,32.03,24,2,0.00929
DB001,2026-08-01T22:30:00,11.55,62.82,481.16,26.39,68,0,0.01798
DB001,2026-08-01T22:45:00,6.78,56.75,580.88,28.33,28,3,0.01142
DB001,2026-08-01T23:00:00,9.79,51.23,462.16,16.74,89,3,0.00475
DB001,2026-08-01T23:15:00,15.65,45.58,504.93,23.09,37,1,0.01310
DB001,2026-08-01T23:30:00,10.73,45.51,542.36,21.09,87,3,0.01327
DB001,2026-08-01T23:45:00,8.66,46.32,498.46,17.94,31,3,0.01221
DB001,2026-08-02T00:00:00,18.42,52.28,479.40,21.62,87,0,0.00880
DB001,2026-08-02T00:15:00,5.84,63.44,494.83,22.57,46,0,0.00369
DB001,2026-08-02T00:30:00,10.39,45.06,527.58,20.81,55,1,0.01661
DB001,2026-08-02T00:45:00,16.20,46.31,568.90,17.18,43,1,0.00650
DB001,2026-08-02T01:00:00,7.44,53.49,470.64,27.52,30,0,0.01762
DB001,2026-08-02T01:15:00,7.93,55.63,565.98,18.17,52,3,0.01067
DB001,2026-08-02T01:30:00,5.74,66.14,555.83,14.70,27,1,0.00389
DB001,2026-08-02T01:45:00,8.17,44.69,454.24,15.29,18,0,0.00995
DB001,2026-08-02T02:00:00,7.35,55.19,595.49,27.19,69,1,0.00141
DB001,2026-08-02T02:15:00,11.97,67.29,477.68,26.48,56,3,0.00476
DB001,2026-08-02T02:30:00,9.24,57.64,488.01,13.90,56,2,0.00681
DB001,2026-08-02T02:45:00,11.79,59.67,576.37,31.43,20,3,0.01107
DB001,2026-08-02T03:00:00,6.76,51.18,588.77,24.21,77,3,0.00358
DB001,2026-08-02T03:15:00,10.93,61.15,507.96,33.53,88,2,0.01663
DB001,2026-08-02T03:30:00,12.23,55.48,518.22,9.62,50,1,0.00502
DB001,2026-08-02T03:45:00,8.90,46.87,457.18,29.14,89,0,0.01445
DB001,2026-08-02T04:00:00,13.97,57.24,554.17,29.84,61,3,0.01318
DB001,2026-08-02T04:15:00,5.57,51.42,573.38,27.53,50,3,0.00343
DB001,2026-08-02T04:30:00,17.86,61.51,580.37,17.97,70,1,0.00637
DB001,2026-08-02T04:45:00,11.73,57.33,516.47,20.42,34,0,0.01457
DB001,2026-08-02T05:00:00,12.22,52.27,588.29,16.50,37,1,0.00457
DB001,2026-08-02T05:15:00,13.33,52.18,523.73,11.18,74,2,0.01578
DB001,2026-08-02T05:30:00,9.50,55.17,564.64,21.49,63,0,0.01242
DB001,2026-08-02T05:45:00,5.70,57.58,576.10,26.69,39,2,0.01482
DB001,2026-08-02T06:00:00,12.61,67.08,468.53,11.03,57,1,0.00788
DB001,2026-08-02T06:15:00,10.79,64.08,463.93,32.76,29,1,0.00794
DB001,2026-08-02T06:30:00,17.22,44.52,485.25,14.35,83,2,0.00511
DB001,2026-08-02T06:45:00,10.53,45.85,519.85,19.92,58,3,0.00521
DB001,2026-08-02T07:00:00,17.21,65.29,521.01,15.36,50,1,0.00975
DB001,2026-08-02T07:15:00,16.55,59.60,441.61,27.42,62,1,0.00318
DB001,2026-08-02T07:30:00,15.12,57.10,576.80,23.34,18,1,0.01162
DB001,2026-08-02T07:45:00,12.82,53.80,581.37,10.57,41,3,0.00781
DB001,2026-08-02T08:00:00,18.40,55.64,1091.06,9.61,47,2,0.01309
DB001,2026-08-02T08:15:00,25.85,48.67,976.95,50.06,19,2,0.01275
DB001,2026-08-02T08:30:00,25.43,46.88,1137.51,20.42,36,2,0.00291
DB001,2026-08-02T08:45:00,26.89,65.45,1078.03,37.41,55,0,0.00161
DB001,2026-08-02T09:00:00,29.99,53.62,1050.91,19.00,63,0,0.01274
DB001,2026-08-02T09:15:00,17.09,56.79,1038.26,46.54,54,3,0.01347
DB001,2026-08-02T09:30:00,24.36,64.89,933.06,20.36,54,3,0.01000
DB001,2026-08-02T09:45:00,24.19,59.50,966.29,33.53,53,0,0.00996
DB001,2026-08-02T10:00:00,22.91,65.89,1118.90,49.58,31,0,0.00263
DB001,2026-08-02T10:15:00,18.73,65.19,1097.84,9.78,40,2,0.01574
DB001,2026-08-02T10:30:00,17.50,51.10,1067.22,44.12,50,3,0.00534
DB001,2026-08-02T10:45:00,19.58,45.90,1134.12,26.27,72,2,0.00119
DB001,2026-08-02T11:00:00,25.74,58.15,1116.22,47.46,74,2,0.01227
DB001,2026-08-02T11:15:00,25.88,46.28,998.88,27.87,65,2,0.00116
DB001,2026-08-02T11:30:00,23.57,45.73,1062.10,39.17,40,1,0.00252
DB001,2026-08-02T11:45:00,17.48,58.07,871.51,30.75,32,1,0.00605
DB001,2026-08-02T12:00:00,26.03,46.56,895.24,35.90,68,1,0.00728
DB001,2026-08-02T12:15:00,17.15,45.44,891.79,31.45,64,3,0.00503
DB001,2026-08-02T12:30:00,22.66,52.20,1068.15,22.49,33,1,0.01719
DB001,2026-08-02T12:45:00,19.51,57.92,1119.98,35.42,21,1,0.01331
DB001,2026-08-02T13:00:00,20.86,47.68,1051.56,15.53,37,3,0.00619
DB001,2026-08-02T13:15:00,21.85,49.17,1161.14,19.68,51,0,0.01410
DB001,2026-08-02T13:30:00,25.92,49.04,1181.88,38.04,73,0,0.01778
DB001,2026-08-02T13:45:00,23.34,52.73,996.91,20.22,21,2,0.00286
DB001,2026-08-02T14:00:00,29.78,55.01,1137.52,48.48,62,3,0.01344
DB001,2026-08-02T14:15:00,21.34,67.51,1052.84,38.59,50,3,0.01047
DB001,2026-08-02T14:30:00,20.98,65.09,863.04,20.22,60,1,0.00155
DB001,2026-08-02T14:45:00,22.67,62.07,1201.16,14.58,30,3,0.01617
DB001,2026-08-02T15:00:00,22.78,55.48,944.96,17.57,35,1,0.01639
DB001,2026-08-02T15:15:00,21.00,64.06,875.29,26.01,32,1,0.01705
DB001,2026-08-02T15:30:00,22.48,58.07,1053.52,49.27,33,3,0.01063
DB001,2026-08-02T15:45:00,19.51,57.83,1177.85,32.11,71,1,0.01497
DB001,2026-08-02T16:00:00,23.58,45.80,999.33,12.24,23,0,0.01585
DB001,2026-08-02T16:15:00,24.96,60.66,1140.88,41.60,31,1,0.01451
DB001,2026-08-02T16:30:00,27.98,50.29,887.56,36.31,27,3,0.00388
DB001,2026-08-02T16:45:00,20.06,59.87,1053.34,27.00,33,3,0.01228
DB001,2026-08-02T17:00:00,28.26,45.51,1176.86,26.20,82,3,0.00448
DB001,2026-08-02T17:15:00,19.13,61.42,1051.88,17.55,86,1,0.00973
DB001,2026-08-02T17:30:00,20.60,57.81,937.26,17.90,23,1,0.00813
DB001,2026-08-02T17:45:00,19.45,53.38,1132.32,45.96,86,3,0.00593
DB001,2026-08-02T18:00:00,19.95,67.07,1120.54,40.80,66,1,0.01545
DB001,2026-08-02T18:15:00,26.52,61.30,1157.34,37.74,19,0,0.01676
DB001,2026-08-02T18:30:00,17.35,49.05,1188.06,15.29,43,0,0.01798
DB001,2026-08-02T18:45:00,24.75,66.02,1062.27,9.95,84,1,0.01425
DB001,2026-08-02T19:00:00,18.67,51.11,1189.79,30.30,67,3,0.00750
DB001,2026-08-02T19:15:00,27.59,45.14,1075.93,29.54,74,3,0.01088
DB001,2026-08-02T19:30:00,20.39,64.30,994.03,22.75,65,3,0.00312
DB001,2026-08-02T19:45:00,25.04,67.47,1092.84,40.56,48,3,0.00410
DB001,2026-08-02T20:00:00,17.73,53.79,1154.10,49.19,23,0,0.00836
DB001,2026-08-02T20:15:00,18.97,51.35,869.86,18.31,68,1,0.00659
DB001,2026-08-02T20:30:00,26.65,61.03,896.52,14.05,60,3,0.00663
DB001,2026-08-02T20:45:00,19.05,52.78,1155.23,20.21,61,3,0.01349
DB001,2026-08-02T21:00:00,23.12,47.94,1026.58,29.77,37,0,0.01622
DB001,2026-08-02T21:15:00,28.07,48.75,1097.41,27.09,44,1,0.00824
DB001,2026-08-02T21:30:00,23.51,51.21,1087.00,36.28,88,3,0.00543
DB001,2026-08-02T21:45:00,20.48,51.25,1148.13,34.63,23,3,0.00727
DB001,2026-08-02T22:00:00,13.36,62.58,584.49,11.81,69,3,0.00896
DB001,2026-08-02T22:15:00,11.35,61.97,590.40,16.35,35,3,0.01226
DB001,2026-08-02T22:30:00,17.97,53.53,495.14,23.76,60,3,0.00296
DB001,2026-08-02T22:45:00,11.58,53.52,503.73,23.42,37,2,0.01268
DB001,2026-08-02T23:00:00,9.41,47.53,440.75,32.41,40,2,0.00580
DB001,2026-08-02T23:15:00,9.29,66.47,494.52,9.52,90,2,0.01688
DB001,2026-08-02T23:30:00,16.32,63.78,504.97,29.93,70,3,0.00217
DB001,2026-08-02T23:45:00,10.46,49.54,539.94,17.07,29,2,0.01539
DB001,2026-08-03T00:00:00,9.32,58.41,487.60,30.14,44,2,0.00015
DB001,2026-08-03T00:15:00,5.89,65.63,555.80,17.60,87,1,0.00814
DB001,2026-08-03T00:30:00,14.88,61.35,599.39,13.52,44,2,0.01572
DB001,2026-08-03T00:45:00,7.16,65.38,455.83,11.71,54,3,0.00160
DB001,2026-08-03T01:00:00,5.94,48.94,478.82,25.15,65,2,0.00219
DB001,2026-08-03T01:15:00,6.94,57.95,552.36,18.76,87,0,0.00219
DB001,2026-08-03T01:30:00,5.86,66.17,495.12,11.22,20,1,0.00142
DB001,2026-08-03T01:45:00,6.96,55.64,490.62,28.77,68,1,0.01057
DB001,2026-08-03T02:00:00,14.45,56.99,592.37,29.55,41,2,0.01107
DB001,2026-08-03T02:15:00,13.09,67.86,571.65,20.50,88,2,0.00953
DB001,2026-08-03T02:30:00,13.92,45.66,505.94,31.56,26,2,0.01062
DB001,2026-08-03T02:45:00,15.14,51.31,471.84,27.82,84,3,0.00303
DB001,2026-08-03T03:00:00,8.81,63.95,455.71,13.17,45,3,0.00598
DB001,2026-08-03T03:15:00,17.54,60.36,429.59,30.58,45,3,0.00339
DB001,2026-08-03T03:30:00,9.38,57.54,597.11,11.59,89,2,0.00674
DB001,2026-08-03T03:45:00,13.97,45.15,545.24,25.10,87,0,0.00868
DB001,2026-08-03T04:00:00,16.46,62.08,425.48,15.41,39,0,0.01249
DB001,2026-08-03T04:15:00,10.75,48.65,439.88,28.99,30,1,0.00025
DB001,2026-08-03T04:30:00,11.09,47.20,557.96,7.09,58,3,0.00719
DB001,2026-08-03T04:45:00,9.11,66.78,567.59,10.18,18,3,0.01373
DB001,2026-08-03T05:00:00,11.04,45.32,559.37,15.37,73,1,0.01585
DB001,2026-08-03T05:15:00,15.30,55.43,590.95,7.12,40,0,0.00434
DB001,2026-08-03T05:30:00,9.44,66.64,561.87,19.30,88,0,0.00508
DB001,2026-08-03T05:45:00,5.55,45.04,453.59,26.40,24,0,0.01574
DB001,2026-08-03T06:00:00,13.46,46.46,564.47,17.88,72,0,0.01033
DB001,2026-08-03T06:15:00,18.08,49.66,428.20,11.19,29,2,0.00097
DB001,2026-08-03T06:30:00,8.87,65.95,431.18,8.98,62,2,0.00493
DB001,2026-08-03T06:45:00,11.31,57.36,476.31,13.11,36,3,0.01049
DB001,2026-08-03T07:00:00,11.77,64.60,494.04,12.31,63,3,0.00273
DB001,2026-08-03T07:15:00,17.41,64.57,585.91,29.45,54,3,0.01278
DB001,2026-08-03T07:30:00,7.43,61.18,514.47,28.52,32,1,0.01588
DB001,2026-08-03T07:45:00,10.44,65.54,581.24,14.39,59,2,0.00079
DB001,2026-08-03T08:00:00,20.99,46.70,1196.18,10.09,80,0,0.01276
DB001,2026-08-03T08:15:00,28.72,57.02,1002.02,23.12,61,3,0.00391
DB001,2026-08-03T08:30:00,22.75,47.71,1010.84,47.78,38,1,0.01149
DB001,2026-08-03T08:45:00,17.28,48.71,1121.59,43.61,53,2,0.00768
DB001,2026-08-03T09:00:00,27.20,52.47,1158.49,40.65,83,3,0.01095
DB001,2026-08-03T09:15:00,24.79,60.46,1208.71,28.23,53,3,0.00204
DB001,2026-08-03T09:30:00,24.89,60.07,1062.54,49.13,55,3,0.01731
DB001,2026-08-03T09:45:00,24.24,65.36,986.59,45.00,33,2,0.00827
DB001,2026-08-03T10:00:00,20.27,64.63,1086.57,46.66,23,1,0.00133
DB001,2026-08-03T10:15:00,21.07,54.59,917.29,38.07,74,3,0.00839
DB001,2026-08-03T10:30:00,23.78,65.46,973.37,35.76,53,0,0.00739
DB001,2026-08-03T10:45:00,27.10,47.41,1088.88,31.79,24,2,0.01354
DB001,2026-08-03T11:00:00,27.05,61.78,1131.11,46.08,88,0,0.01390
DB001,2026-08-03T11:15:00,18.06,53.37,883.45,11.62,57,3,0.00608
DB001,2026-08-03T11:30:00,23.17,50.65,1182.44,38.00,22,2,0.01604
DB001,2026-08-03T11:45:00,25.04,49.90,1168.29,36.05,22,3,0.00808
DB001,2026-08-03T12:00:00,23.03,60.23,949.93,24.19,72,3,0.00384
DB001,2026-08-03T12:15:00,22.27,47.66,916.00,27.82,87,1,0.01167
DB001,2026-08-03T12:30:00,18.47,55.78,995.21,25.12,76,0,0.00203
DB001,2026-08-03T12:45:00,28.42,67.96,1108.76,44.16,87,3,0.01070
DB001,2026-08-03T13:00:00,20.70,57.49,1031.98,12.13,80,3,0.01442
DB001,2026-08-03T13:15:00,19.18,56.11,1041.06,17.44,30,2,0.00885
DB001,2026-08-03T13:30:00,25.11,64.21,910.71,13.15,61,2,0.01554
DB001,2026-08-03T13:45:00,24.54,59.85,863.49,16.39,81,2,0.00011
DB001,2026-08-03T14:00:00,19.09,57.56,998.93,38.22,51,0,0.00476
DB001,2026-08-03T14:15:00,26.86,60.25,1079.87,47.27,69,1,0.00007
DB001,2026-08-03T14:30:00,21.59,59.76,1127.50,33.72,38,0,0.01095
DB001,2026-08-03T14:45:00,27.02,60.72,1052.04,23.67,53,2,0.00102
DB001,2026-08-03T15:00:00,19.30,62.39,970.77,17.29,83,0,0.01727
DB001,2026-08-03T15:15:00,29.28,61.39,957.10,47.34,54,3,0.01795
DB001,2026-08-03T15:30:00,19.74,65.38,929.71,22.97,46,0,0.00556
DB001,2026-08-03T15:45:00,23.44,52.95,1048.75,40.06,87,3,0.01491
DB001,2026-08-03T16:00:00,23.09,58.42,1030.49,38.03,49,3,0.00804
DB001,2026-08-03T16:15:00,17.43,64.86,982.87,42.46,53,0,0.01775
DB001,2026-08-03T16:30:00,24.34,46.44,1142.27,12.30,58,3,0.01725
DB001,2026-08-03T16:45:00,20.54,51.55,1167.74,29.78,24,3,0.00047
DB001,2026-08-03T17:00:00,29.94,47.37,1023.44,13.90,44,0,0.00285
DB001,2026-08-03T17:15:00,25.38,54.72,930.18,26.34,88,0,0.01476
DB001,2026-08-03T17:30:00,28.58,44.44,868.86,36.52,88,3,0.01252
DB001,2026-08-03T17:45:00,22.83,64.36,1063.78,19.82,31,0,0.01556
DB001,2026-08-03T18:00:00,21.74,47.69,1109.75,32.72,60,1,0.00345
DB001,2026-08-03T18:15:00,24.90,61.95,933.04,23.39,46,0,0.01772
DB001,2026-08-03T18:30:00,22.67,56.73,1170.58,24.03,47,0,0.00998
DB001,2026-08-03T18:45:00,21.47,67.44,1200.06,44.74,33,3,0.01672
DB001,2026-08-03T19:00:00,22.93,51.37,1092.20,41.16,54,0,0.00957
DB001,2026-08-03T19:15:00,25.22,49.85,945.31,14.09,67,2,0.01446
DB001,2026-08-03T19:30:00,24.93,46.04,1146.74,43.64,23,3,0.00200
DB001,2026-08-03T19:45:00,28.53,56.00,1122.74,17.47,24,1,0.01326
DB001,2026-08-03T20:00:00,18.39,56.96,954.43,39.00,56,0,0.00559
DB001,2026-08-03T20:15:00,26.55,65.09,1202.63,22.55,71,2,0.01161
DB001,2026-08-03T20:30:00,22.71,59.86,1111.79,14.53,28,2,0.01158
DB001,2026-08-03T20:45:00,24.88,57.54,1029.59,43.63,76,1,0.00361
DB001,2026-08-03T21:00:00,28.17,47.91,960.51,48.92,90,3,0.00595
DB001,2026-08-03T21:15:00,29.25,44.71,1155.08,41.35,68,1,0.00551
DB001,2026-08-03T21:30:00,26.83,47.26,1199.32,33.98,67,3,0.00972
DB001,2026-08-03T21:45:00,24.27,51.84,1057.09,41.07,27,1,0.00668
DB001,2026-08-03T22:00:00,13.89,63.61,561.05,14.42,19,1,0.00849
DB001,2026-08-03T22:15:00,9.98,67.21,498.55,12.80,76,1,0.01776
DB001,2026-08-03T22:30:00,7.51,61.84,427.78,6.49,87,3,0.01003
DB001,2026-08-03T22:45:00,6.07,53.73,555.33,13.31,61,2,0.00370
DB001,2026-08-03T23:00:00,14.70,48.21,427.77,17.57,78,1,0.00160
DB001,2026-08-03T23:15:00,9.72,63.59,548.80,13.50,63,2,0.00087
DB001,2026-08-03T23:30:00,14.78,59.25,454.67,28.52,67,1,0.01043
DB001,2026-08-03T23:45:00,16.32,59.40,518.91,30.73,44,3,0.01699
DB001,2026-08-04T00:00:00,10.19,58.25,470.89,25.24,56,3,0.01392
DB001,2026-08-04T00:15:00,7.67,55.11,455.62,26.06,62,1,0.01285
DB001,2026-08-04T00:30:00,16.95,48.56,447.72,32.88,23,0,0.01479
DB001,2026-08-04T00:45:00,14.22,55.14,544.75,29.58,45,0,0.01223
DB001,2026-08-04T01:00:00,6.45,66.99,553.50,22.61,87,2,0.00116
DB001,2026-08-04T01:15:00,6.55,61.65,508.46,11.56,79,0,0.00032
DB001,2026-08-04T01:30:00,13.86,67.19,507.91,30.02,55,1,0.00418
DB001,2026-08-04T01:45:00,8.43,45.47,586.97,22.20,59,1,0.01699
DB001,2026-08-04T02:00:00,9.90,63.78,531.39,32.20,30,1,0.00126
DB001,2026-08-04T02:15:00,10.76,66.26,551.94,20.66,69,3,0.00589
DB001,2026-08-04T02:30:00,5.94,60.59,595.59,30.74,34,3,0.00453
DB001,2026-08-04T02:45:00,13.41,63.47,446.26,28.79,40,3,0.00630
DB001,2026-08-04T03:00:00,11.31,52.56,507.77,21.94,24,3,0.01276
DB001,2026-08-04T03:15:00,14.04,55.87,499.37,25.90,59,0,0.00730
DB001,2026-08-04T03:30:00,6.79,58.92,548.58,21.76,85,2,0.01717
DB001,2026-08-04T03:45:00,14.27,65.49,542.99,11.35,64,3,0.00668
DB001,2026-08-04T04:00:00,6.51,57.43,462.08,26.14,86,0,0.00835
DB001,2026-08-04T04:15:00,10.86,55.10,436.17,17.71,48,1,0.00356
DB001,2026-08-04T04:30:00,6.30,59.90,451.16,7.85,29,3,0.00420
DB001,2026-08-04T04:45:00,17.69,48.74,572.26,33.33,86,3,0.01659
DB001,2026-08-04T05:00:00,8.85,61.35,520.93,29.35,87,0,0.01165
DB001,2026-08-04T05:15:00,18.01,56.10,467.60,10.40,41,2,0.01545
DB001,2026-08-04T05:30:00,17.19,50.34,571.60,10.24,28,2,0.01766
DB001,2026-08-04T05:45:00,13.92,54.36,587.06,10.86,49,1,0.00954
DB001,2026-08-04T06:00:00,10.61,57.08,489.85,6.74,89,1,0.00579
DB001,2026-08-04T06:15:00,9.79,64.29,503.94,11.28,74,0,0.01480
DB001,2026-08-04T06:30:00,11.14,58.14,432.34,8.25,44,1,0.01303
DB001,2026-08-04T06:45:00,17.68,50.23,495.44,7.93,40,0,0.01461
DB001,2026-08-04T07:00:00,7.87,55.17,500.64,10.27,82,2,0.01607
DB001,2026-08-04T07:15:00,8.13,48.41,475.61,8.69,59,1,0.00628
DB001,2026-08-04T07:30:00,8.11,50.16,525.25,27.22,61,0,0.01363
DB001,2026-08-04T07:45:00,13.26,54.30,583.87,10.65,49,1,0.00269
DB001,2026-08-04T08:00:00,25.34,51.13,985.97,23.50,41,2,0.01297
DB001,2026-08-04T08:15:00,20.85,65.42,1162.86,13.04,31,0,0.00815
DB001,2026-08-04T08:30:00,19.26,52.75,988.58,18.21,25,0,0.01467
DB001,2026-08-04T08:45:00,26.96,59.13,1066.89,10.93,84,0,0.00180
DB001,2026-08-04T09:00:00,18.98,52.52,1057.20,43.82,41,0,0.01710
DB001,2026-08-04T09:15:00,17.27,63.09,1012.59,43.70,61,3,0.01094
DB001,2026-08-04T09:30:00,25.76,49.26,1178.55,37.67,39,0,0.00448
DB001,2026-08-04T09:45:00,21.40,59.64,1134.82,48.12,31,2,0.00994
