query_id,instance_id,observed_ts,query_fingerprint,duration_ms,rows_examined,rows_returned,query_type,wait_event
Q0000058,DB006,2026-08-07T12:18:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4362.62,27245338,38641,DELETE,None
Q0000059,DB010,2026-08-07T23:41:00,DELETE session_events WHERE expires_at < ?,3564.15,29551656,11248,SELECT,Network
Q0000060,DB012,2026-08-05T09:00:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,3397.58,7541411,7902,DELETE,IO
Q0000061,DB008,2026-08-07T13:21:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,6225.06,28658134,25837,SELECT,Network
Q0000062,DB007,2026-08-06T13:43:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,2685.38,24795190,45207,SELECT,Lock
Q0000063,DB009,2026-08-04T10:25:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,3544.37,2018588,1526,UPDATE,Network
Q0000064,DB004,2026-08-03T07:11:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",3619.50,19596180,39483,SELECT,CPU
Q0000065,DB012,2026-08-04T15:43:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4024.50,14175707,44806,SELECT,Lock
Q0000066,DB008,2026-08-01T04:07:00,SELECT customer_profile WHERE customer_id = ?,6673.38,25709131,47287,SELECT,IO
Q0000067,DB002,2026-08-02T04:34:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4405.87,16055554,28082,DELETE,Network
Q0000068,DB001,2026-08-06T17:15:00,SELECT customer_profile WHERE customer_id = ?,1493.52,23191196,23177,SELECT,Lock
Q0000069,DB007,2026-08-04T12:50:00,SELECT customer_profile WHERE customer_id = ?,5524.09,11628097,15183,UPDATE,Network
Q0000070,DB001,2026-08-06T20:34:00,DELETE session_events WHERE expires_at < ?,2886.14,2879568,47786,DELETE,CPU
Q0000071,DB011,2026-08-06T13:37:00,DELETE session_events WHERE expires_at < ?,3313.81,20404588,33712,UPDATE,IO
Q0000072,DB009,2026-08-04T07:12:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,1879.28,15727410,3174,UPDATE,IO
Q0000073,DB009,2026-08-03T03:10:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,2917.39,14149371,46489,UPDATE,None
Q0000074,DB001,2026-08-07T09:17:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5138.59,21322252,59,SELECT,Lock
Q0000075,DB010,2026-08-05T00:21:00,DELETE session_events WHERE expires_at < ?,6289.13,7538710,24447,SELECT,Network
Q0000076,DB001,2026-08-07T02:35:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",2790.86,27567086,2750,SELECT,IO
Q0000077,DB001,2026-08-02T09:24:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7426.43,5049116,16918,UPDATE,CPU
Q0000078,DB011,2026-08-06T11:03:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",4967.65,17234041,18415,SELECT,Network
Q0000079,DB002,2026-08-05T01:13:00,SELECT customer_profile WHERE customer_id = ?,6998.88,18552567,9257,SELECT,Network
Q0000080,DB009,2026-08-01T23:52:00,SELECT customer_profile WHERE customer_id = ?,5386.97,4264933,32910,DELETE,CPU
Q0000081,DB001,2026-08-05T18:48:00,DELETE session_events WHERE expires_at < ?,4230.04,23376570,44095,DELETE,IO
Q0000082,DB008,2026-08-01T05:59:00,DELETE session_events WHERE expires_at < ?,1937.95,743769,11332,SELECT,None
Q0000083,DB005,2026-08-02T07:42:00,SELECT customer_profile WHERE customer_id = ?,2808.39,27544122,36461,SELECT,CPU
Q0000084,DB007,2026-08-04T18:40:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",6660.18,21727534,33396,SELECT,CPU
Q0000085,DB008,2026-08-02T23:48:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,4735.82,28031987,23933,SELECT,Network
Q0000086,DB010,2026-08-07T22:02:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4384.70,5979858,38891,SELECT,None
Q0000087,DB002,2026-08-05T04:47:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",3406.49,246312,4870,DELETE,Network
Q0000088,DB002,2026-08-04T01:16:00,SELECT customer_profile WHERE customer_id = ?,4743.77,2961472,27912,UPDATE,CPU
Q0000089,DB006,2026-08-02T18:36:00,DELETE session_events WHERE expires_at < ?,2548.55,3623894,13684,SELECT,CPU
Q0000090,DB003,2026-08-06T09:58:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5296.37,26036603,1234,SELECT,None
Q0000091,DB005,2026-08-02T12:55:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,2243.45,93913,31540,SELECT,Network
Q0000092,DB011,2026-08-03T02:45:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,2290.12,18954715,34614,SELECT,Lock
Q0000093,DB006,2026-08-05T09:33:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",461.03,9515553,20394,SELECT,Lock
Q0000094,DB004,2026-08-07T19:21:00,DELETE session_events WHERE expires_at < ?,891.31,10774157,29615,SELECT,None
Q0000095,DB011,2026-08-02T14:38:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",1997.12,2813184,41545,DELETE,Network
Q0000096,DB009,2026-08-06T13:20:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,960.21,14878715,26781,SELECT,Lock
Q0000097,DB012,2026-08-02T10:08:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,4880.16,22494414,24988,SELECT,Lock
Q0000098,DB011,2026-08-02T16:29:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7204.00,19770802,11152,DELETE,CPU
Q0000099,DB009,2026-08-04T11:13:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7652.27,27411303,43428,SELECT,IO
Q0000100,DB009,2026-08-01T20:23:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,6564.18,17247636,39689,SELECT,IO
Q0000101,DB006,2026-08-04T08:54:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",6897.50,19489061,49396,SELECT,IO
Q0000102,DB010,2026-08-07T15:29:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,7571.22,26230459,10578,SELECT,IO
Q0000103,DB007,2026-08-01T23:28:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4488.11,27769801,48313,SELECT,Lock
Q0000104,DB007,2026-08-05T04:35:00,DELETE session_events WHERE expires_at < ?,6718.63,6502242,21485,SELECT,IO
Q0000105,DB010,2026-08-05T05:20:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5620.65,20198223,1131,DELETE,None
Q0000106,DB002,2026-08-06T05:08:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,7259.33,23677896,39757,SELECT,IO
Q0000107,DB003,2026-08-05T22:19:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,2024.42,14455252,42971,SELECT,CPU
Q0000108,DB012,2026-08-07T19:00:00,SELECT customer_profile WHERE customer_id = ?,3027.44,22157958,34239,SELECT,IO
Q0000109,DB008,2026-08-05T18:06:00,DELETE session_events WHERE expires_at < ?,5479.73,991114,27076,DELETE,Lock
Q0000110,DB012,2026-08-02T15:49:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,3936.76,12459650,12775,DELETE,Network
Q0000111,DB005,2026-08-06T02:33:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,2224.01,27717432,28508,SELECT,Lock
Q0000112,DB007,2026-08-02T02:07:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4386.53,22979815,16929,SELECT,Network
Q0000113,DB008,2026-08-06T20:04:00,DELETE session_events WHERE expires_at < ?,4597.01,8727928,49934,SELECT,IO
Q0000114,DB004,2026-08-07T00:51:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,1907.67,14905692,25995,SELECT,IO
Q0000115,DB010,2026-08-02T00:19:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,4715.49,7555740,3268,DELETE,Lock
Q0000116,DB011,2026-08-05T16:21:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7415.83,29255416,48806,SELECT,None
Q0000117,DB001,2026-08-02T03:32:00,DELETE session_events WHERE expires_at < ?,5290.91,9064416,42857,SELECT,IO
Q0000118,DB012,2026-08-03T13:28:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,4222.50,1631472,32307,SELECT,CPU
Q0000119,DB001,2026-08-01T05:28:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",2896.15,8594877,33877,SELECT,IO
Q0000120,DB010,2026-08-03T03:04:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,1685.27,28113289,6697,DELETE,Lock
Q0000121,DB008,2026-08-04T19:45:00,DELETE session_events WHERE expires_at < ?,4377.93,7550554,46199,UPDATE,Lock
Q0000122,DB011,2026-08-07T05:55:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,6664.41,8160473,39894,SELECT,IO
Q0000123,DB004,2026-08-01T05:33:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,2301.01,28830360,3910,UPDATE,Network
Q0000124,DB001,2026-08-05T07:41:00,DELETE session_events WHERE expires_at < ?,7757.71,19771809,1210,DELETE,CPU
Q0000125,DB012,2026-08-04T11:24:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,3092.39,17760880,7626,SELECT,IO
Q0000126,DB001,2026-08-06T13:07:00,DELETE session_events WHERE expires_at < ?,1817.38,23850446,43149,DELETE,Network
Q0000127,DB003,2026-08-01T09:10:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",4812.51,1785885,16968,SELECT,CPU
Q0000128,DB007,2026-08-06T02:49:00,DELETE session_events WHERE expires_at < ?,3519.31,807718,30849,UPDATE,None
Q0000129,DB008,2026-08-05T07:01:00,DELETE session_events WHERE expires_at < ?,6792.95,17385272,22414,UPDATE,Network
Q0000130,DB007,2026-08-02T09:59:00,SELECT customer_profile WHERE customer_id = ?,558.02,22235288,9428,DELETE,None
Q0000131,DB008,2026-08-02T23:24:00,SELECT customer_profile WHERE customer_id = ?,5835.59,5634350,18163,SELECT,Network
Q0000132,DB007,2026-08-01T00:09:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",1272.89,24339751,33971,SELECT,CPU
Q0000133,DB003,2026-08-06T06:18:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,5890.07,1975691,1953,SELECT,IO
Q0000134,DB007,2026-08-06T18:56:00,SELECT customer_profile WHERE customer_id = ?,1376.87,4099367,23048,UPDATE,CPU
Q0000135,DB006,2026-08-02T00:26:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7113.36,19627484,6775,SELECT,Lock
Q0000136,DB008,2026-08-07T07:13:00,SELECT customer_profile WHERE customer_id = ?,6417.76,7611540,37582,UPDATE,IO
Q0000137,DB010,2026-08-04T10:19:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,7128.33,27082247,49719,SELECT,Lock
Q0000138,DB009,2026-08-03T02:19:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,3718.13,15712558,46300,SELECT,CPU
Q0000139,DB003,2026-08-04T01:07:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,7748.55,15902834,8575,SELECT,Lock
Q0000140,DB011,2026-08-04T19:32:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,3965.65,20337811,15766,SELECT,IO
Q0000141,DB007,2026-08-02T13:46:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,1271.87,15344942,36823,SELECT,IO
Q0000142,DB009,2026-08-03T00:10:00,DELETE session_events WHERE expires_at < ?,1483.20,1980238,24561,SELECT,Network
Q0000143,DB002,2026-08-02T11:39:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5043.32,28805880,19747,SELECT,IO
Q0000144,DB003,2026-08-02T06:51:00,DELETE session_events WHERE expires_at < ?,1400.69,4787725,25582,SELECT,None
Q0000145,DB012,2026-08-01T06:39:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5316.76,1853798,12234,SELECT,Network
Q0000146,DB007,2026-08-03T03:11:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,7631.48,28680120,2971,DELETE,Network
Q0000147,DB012,2026-08-06T04:20:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,5547.48,13451658,49943,DELETE,None
Q0000148,DB007,2026-08-06T04:49:00,SELECT customer_profile WHERE customer_id = ?,2082.54,25464979,30374,SELECT,CPU
Q0000149,DB006,2026-08-03T18:33:00,DELETE session_events WHERE expires_at < ?,5463.53,8966752,28934,DELETE,Lock
Q0000150,DB010,2026-08-04T19:21:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",2602.05,409207,13749,SELECT,Network
Q0000151,DB007,2026-08-04T06:11:00,SELECT customer_profile WHERE customer_id = ?,4076.12,14658954,39654,SELECT,IO
Q0000152,DB008,2026-08-07T01:09:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,6962.54,9274637,45001,UPDATE,Lock
Q0000153,DB007,2026-08-04T12:06:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,3398.33,24902201,29995,SELECT,Network
Q0000154,DB012,2026-08-06T09:29:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,7745.65,6289308,19444,UPDATE,CPU
Q0000155,DB007,2026-08-04T14:05:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,3650.42,20315029,30708,SELECT,None
Q0000156,DB008,2026-08-05T01:10:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7740.21,6746159,10160,SELECT,Lock
Q0000157,DB008,2026-08-06T03:19:00,DELETE session_events WHERE expires_at < ?,7180.23,22354058,2975,SELECT,Lock
Q0000158,DB003,2026-08-07T10:32:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",525.85,12603719,31876,SELECT,CPU
Q0000159,DB007,2026-08-03T23:57:00,DELETE session_events WHERE expires_at < ?,6234.43,28513769,35867,UPDATE,None
Q0000160,DB003,2026-08-07T06:10:00,SELECT customer_profile WHERE customer_id = ?,1827.50,23499566,37285,SELECT,None
Q0000161,DB012,2026-08-07T08:24:00,SELECT customer_profile WHERE customer_id = ?,4292.39,24870905,26320,SELECT,CPU
Q0000162,DB003,2026-08-02T19:04:00,SELECT customer_profile WHERE customer_id = ?,7487.95,14107399,37585,SELECT,CPU
Q0000163,DB002,2026-08-05T07:23:00,SELECT customer_profile WHERE customer_id = ?,4936.61,9766282,35793,SELECT,None
Q0000164,DB003,2026-08-06T23:44:00,DELETE session_events WHERE expires_at < ?,5165.55,18872906,22671,SELECT,CPU
Q0000165,DB008,2026-08-06T15:20:00,DELETE session_events WHERE expires_at < ?,3993.48,27911017,44914,SELECT,None
Q0000166,DB009,2026-08-03T17:36:00,SELECT customer_profile WHERE customer_id = ?,5864.02,10115936,33184,SELECT,CPU
Q0000167,DB010,2026-08-04T12:44:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,7561.48,25295017,35798,SELECT,IO
Q0000168,DB012,2026-08-03T21:07:00,DELETE session_events WHERE expires_at < ?,2308.96,18676262,17450,SELECT,Network
Q0000169,DB010,2026-08-07T08:09:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7262.29,7093562,26952,UPDATE,IO
Q0000170,DB010,2026-08-02T12:56:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,4522.23,10102342,15595,UPDATE,Lock
Q0000171,DB004,2026-08-05T04:07:00,DELETE session_events WHERE expires_at < ?,5126.19,28331673,23779,DELETE,CPU
Q0000172,DB003,2026-08-05T08:38:00,DELETE session_events WHERE expires_at < ?,2690.12,29151380,28239,SELECT,CPU
Q0000173,DB003,2026-08-01T11:22:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,1979.18,18559139,30984,UPDATE,IO
Q0000174,DB002,2026-08-07T01:21:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,2340.23,26382995,17090,SELECT,IO
Q0000175,DB008,2026-08-02T02:57:00,DELETE session_events WHERE expires_at < ?,3800.17,7073611,36397,SELECT,Lock
Q0000176,DB007,2026-08-03T00:19:00,DELETE session_events WHERE expires_at < ?,5470.76,2904276,49183,SELECT,None
Q0000177,DB008,2026-08-02T02:06:00,DELETE session_events WHERE expires_at < ?,3693.47,2370487,24669,DELETE,Lock
Q0000178,DB004,2026-08-02T05:57:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,4178.37,6462611,19066,SELECT,CPU
Q0000179,DB011,2026-08-01T21:33:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",2929.10,16986795,33543,SELECT,CPU
Q0000180,DB011,2026-08-01T21:57:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,555.57,25824143,6791,SELECT,None
Q0000181,DB007,2026-08-01T10:22:00,DELETE session_events WHERE expires_at < ?,2266.91,10991416,13320,DELETE,Network
Q0000182,DB005,2026-08-04T08:07:00,DELETE session_events WHERE expires_at < ?,7366.69,24329233,798,DELETE,Network
Q0000183,DB012,2026-08-06T23:30:00,DELETE session_events WHERE expires_at < ?,7353.09,1296265,46205,DELETE,IO
Q0000184,DB011,2026-08-01T19:15:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,2396.97,768918,38201,DELETE,None
Q0000185,DB006,2026-08-02T05:11:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",7788.07,8500413,3465,UPDATE,CPU
Q0000186,DB003,2026-08-06T22:46:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5234.31,3844758,9701,DELETE,None
Q0000187,DB005,2026-08-02T15:13:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,1910.57,29166986,7465,UPDATE,CPU
Q0000188,DB012,2026-08-01T13:42:00,SELECT customer_profile WHERE customer_id = ?,7768.00,22922890,1086,SELECT,IO
Q0000189,DB004,2026-08-05T13:08:00,DELETE session_events WHERE expires_at < ?,3032.18,2264572,107,UPDATE,Network
Q0000190,DB010,2026-08-02T00:33:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",1691.18,8396600,46771,SELECT,None
Q0000191,DB011,2026-08-02T16:17:00,DELETE session_events WHERE expires_at < ?,5223.30,24079163,6925,UPDATE,IO
Q0000192,DB010,2026-08-07T19:31:00,UPDATE inventory SET reserved = reserved + ? WHERE sku = ?,960.81,11304569,22614,DELETE,CPU
Q0000193,DB004,2026-08-02T08:14:00,SELECT customer_profile WHERE customer_id = ?,2088.20,24124683,34085,SELECT,None
Q0000194,DB010,2026-08-06T09:49:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,5653.57,26896294,43165,SELECT,IO
Q0000195,DB007,2026-08-07T10:30:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,2750.91,19962169,27052,DELETE,Lock
Q0000196,DB004,2026-08-05T20:26:00,"SELECT metrics GROUP BY instance_id, time_bucket(?)",5219.61,26284265,18325,DELETE,None
Q0000197,DB002,2026-08-05T11:40:00,DELETE session_events WHERE expires_at < ?,2918.52,24651846,29511,UPDATE,CPU
Q0000198,DB009,2026-08-02T03:22:00,SELECT customer_profile WHERE customer_id = ?,6779.32,5476363,27473,SELECT,Lock
Q0000199,DB002,2026-08-01T13:15:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,2148.44,7307623,2252,DELETE,Network
Q0000200,DB003,2026-08-01T05:16:00,SELECT orders JOIN order_items WHERE created_at BETWEEN ? AND ?,3549.30,4974947,8334,SELECT,Lock
