alert_id,instance_id,fired_ts,severity,metric,threshold,observed_value,status
ALT-025,DB009,2026-08-01T05:08:00,SEV-3,memory_pct,80,94,resolved
ALT-026,DB007,2026-08-02T03:51:00,SEV-4,memory_pct,90,88,resolved
ALT-027,DB001,2026-08-05T06:02:00,SEV-4,disk_usage,90,88,resolved
ALT-028,DB004,2026-08-03T10:16:00,SEV-4,cpu_pct,80,94,resolved
ALT-029,DB008,2026-08-02T07:38:00,SEV-3,replication_lag,90,88,resolved
ALT-030,DB003,2026-08-02T08:15:00,SEV-3,memory_pct,85,81,resolved
ALT-031,DB005,2026-08-05T06:18:00,SEV-4,replication_lag,90,88,suppressed
ALT-032,DB010,2026-08-05T04:27:00,SEV-4,cpu_pct,85,94,suppressed
ALT-033,DB005,2026-08-07T16:51:00,SEV-4,disk_usage,90,88,resolved
ALT-034,DB008,2026-08-06T09:40:00,SEV-3,disk_usage,85,88,suppressed
ALT-035,DB006,2026-08-06T14:33:00,SEV-4,disk_usage,80,81,resolved
ALT-036,DB008,2026-08-01T06:21:00,SEV-3,memory_pct,90,88,resolved
ALT-037,DB003,2026-08-05T02:43:00,SEV-3,disk_usage,80,88,suppressed
ALT-038,DB009,2026-08-06T20:10:00,SEV-3,cpu_pct,85,81,resolved
ALT-039,DB003,2026-08-07T08:06:00,SEV-3,disk_usage,90,81,resolved
ALT-040,DB005,2026-08-07T22:40:00,SEV-4,replication_lag,85,88,suppressed
ALT-041,DB012,2026-08-02T02:03:00,SEV-3,replication_lag,80,81,resolved
ALT-042,DB011,2026-08-05T20:12:00,SEV-3,replication_lag,80,81,suppressed
ALT-043,DB008,2026-08-02T05:57:00,SEV-4,disk_usage,85,81,resolved
ALT-044,DB010,2026-08-07T19:47:00,SEV-3,disk_usage,90,81,resolved
ALT-045,DB004,2026-08-07T13:26:00,SEV-3,cpu_pct,85,94,suppressed
ALT-046,DB006,2026-08-06T21:11:00,SEV-4,memory_pct,80,94,resolved
ALT-047,DB009,2026-08-07T22:35:00,SEV-4,replication_lag,80,81,resolved
ALT-048,DB001,2026-08-04T16:35:00,SEV-3,disk_usage,80,81,suppressed
ALT-049,DB003,2026-08-05T14:03:00,SEV-4,replication_lag,90,81,resolved
ALT-050,DB010,2026-08-04T09:36:00,SEV-3,replication_lag,90,88,resolved
ALT-051,DB006,2026-08-07T23:32:00,SEV-3,memory_pct,80,81,resolved
ALT-052,DB003,2026-08-07T10:38:00,SEV-4,cpu_pct,85,81,resolved
ALT-053,DB004,2026-08-05T08:47:00,SEV-3,replication_lag,90,81,suppressed
ALT-054,DB006,2026-08-01T10:24:00,SEV-3,replication_lag,85,94,resolved
ALT-055,DB009,2026-08-05T16:30:00,SEV-4,memory_pct,90,94,resolved
ALT-056,DB003,2026-08-06T16:56:00,SEV-4,disk_usage,90,81,resolved
ALT-057,DB003,2026-08-03T18:15:00,SEV-3,replication_lag,80,94,resolved
ALT-058,DB009,2026-08-06T13:50:00,SEV-3,memory_pct,80,88,resolved
ALT-059,DB003,2026-08-07T19:23:00,SEV-3,cpu_pct,85,88,resolved
ALT-060,DB009,2026-08-01T01:09:00,SEV-3,memory_pct,90,88,suppressed
ALT-061,DB006,2026-08-02T06:40:00,SEV-3,cpu_pct,85,81,resolved
ALT-062,DB004,2026-08-06T23:41:00,SEV-4,cpu_pct,80,88,resolved
ALT-063,DB012,2026-08-07T20:58:00,SEV-3,memory_pct,90,81,suppressed
ALT-064,DB007,2026-08-07T18:11:00,SEV-4,cpu_pct,90,81,suppressed
ALT-065,DB002,2026-08-01T11:25:00,SEV-3,disk_usage,80,81,suppressed
ALT-066,DB001,2026-08-07T02:46:00,SEV-3,replication_lag,80,88,resolved
